"Taxa","varImp"
"Enterobacter",133.297246565282
"Methylobacterium",85.5473685162296
"Escherichia",30.7142160809254
"Mastadenovirus",30.2872839974229
"Stenotrophomonas",23.0290192186578
"Cutibacterium",14.31600929603
"Neisseria",13.1324458242862
"Staphylococcus",13.0424585860281
"Bradyrhizobium",12.5064797375169
"Flavobacterium",11.1935794038004
"Shigella",7.26048378105171
"Cupriavidus",5.13492927561658
"Citrobacter",3.18949847467573
"Klebsiella",3.07464812725378
"Sphingomonas",2.92060135051823
"Clostridium",2.15110899682921
"Veillonella",1.98873534685885
"Mycobacterium",1.9518708538688
"Dialister",1.40163409051975
"Porphyromonas",1.29131157306283
"Serratia",1.23052005141098
"Massilia",1.05871594019421
"Lactobacillus",0.944874427343789
"Vibrio",0.887259749062023
"Granulibacter",0.79824757374469
"Lymphocryptovirus",0.790286640852419
"Sneathia",0.755548463792248
"Prevotella",0.73711508637368
"Cedecea",0.686252422940391
"Parabacteroides",0.660877441439777
"Salmonella",0.625673514076169
"Lactococcus",0.603715174276169
"Streptococcus",0.580245900645441
"Acinetobacter",0.48369784296562
"Chryseobacterium",0.445130481641457
"Megamonas",0.433243948988359
"Acidovorax",0.418156315648379
"Malassezia",0.395089584460611
"Rothia",0.299269011158093
"Finegoldia",0.28264950085885
"Delftia",0.270180538362253
"Alistipes",0.252472530181887
"Exiguobacterium",0.206903244340485
"Pediococcus",0.178570624621703
"Ruminococcus",0.152378229522213
"Bifidobacterium",0.139814817474134
"Paracoccus",0.130249400184297
"Pluralibacter",0.112892360317164
"Leclercia",0.0874744617577109
"Bacteroides",0.0585813374756303
"Curtobacterium",0.0546787667937337
"Micrococcus",0.0493983586081398
"Sphingobacterium",0.0445026093107793
"Brevundimonas",0.0395915896693418
"Fusobacterium",0.0385296856554206
"Haemophilus",0.0379702689432706
"Ruthenibacterium",0.0322924976788852
"Xanthomonas",0.0238887868386777
"Candida",0.0227342623696134
"Gemella",0.0185246376811552
"Moraxella",0.0169254729983586
"Agrobacterium",0.0162037726592642
"Lentivirus",0.0145484459644901
"Bacillus",0.0123409483155136
"Roseolovirus",0.0121508242729898
"Roseomonas",0.0113658946143882
"Pantoea",0.0098043063611237
"Dermacoccus",0.00796131306073855
"Rhizobium",0.00577506886123833
"Aspergillus",0.00441888583314838
"Saccharomyces",0.00404278218751561
"Erwinia",0.00341276030036987
"Achromobacter",0.0029551838473693
"Streptomyces",0.0029148432379759
"Mesorhizobium",0.00239677116686477
"Alcaligenes",0.00171711791604007
"Methanosphaera",0.00139758644403654
