"Taxa","varImp"
"Staphylococcus",271.629772497512
"Streptomyces",225.202120569452
"Pseudomonas",98.6110013279123
"Mycobacterium",73.0383524509473
"Acinetobacter",45.2001276876532
"Penicillium",44.6501260164757
"Cupriavidus",40.879656345919
"Rhizobium",38.310837469768
"Dermacoccus",35.1738984073044
"Rickettsia",30.7709727453389
"Trueperella",27.8897812127299
"Aspergillus",27.464248587355
"Xanthomonas",25.3977311228484
"Halomonas",16.4628032645424
"Shigella",9.54287148569118
"Chryseobacterium",8.41096191693394
"Sphingobium",8.05570608146506
"Flavobacterium",6.11844059288558
"Propionibacterium",4.64931358085603
"Roseomonas",4.15246789865635
"Bacillus",3.77035938215482
"Stenotrophomonas",3.2392673411856
"Bergeyella",3.15148752508979
"Enterobacter",3.13342190189869
"Afipia",3.0976432644847
"Citrobacter",2.77929977476366
"Clostridium",2.69967911883986
"Jonquetella",2.69812547217649
"Cellulomonas",2.43447648924149
"Microvirga",2.3793935562557
"Cutibacterium",2.31389536321791
"Alcaligenes",2.27019167981433
"Paracoccus",2.05173208732996
"Klebsiella",1.91339986749819
"Delftia",1.86144152160055
"Bradyrhizobium",1.81278575671547
"Alphapapillomavirus",1.69257226230612
"Sphingomonas",1.45465690908224
"Flaviflexus",1.43413064483104
"Malassezia",1.39832586554027
"Shewanella",1.29575986322233
"Noviherbaspirillum",1.19972224512466
"Ralstonia",1.13425360489593
"Acidovorax",1.01326473762001
"Dietzia",0.978913247379828
"Achromobacter",0.868952223711221
"Escherichia",0.82682364059573
"Massilia",0.807845114527372
"Cyphellophora",0.735532317894279
"Mesorhizobium",0.71364196408005
"Arcobacter",0.680069459492433
"Simplexvirus",0.6339855204476
"Eikenella",0.601983617342971
"Megamonas",0.59555777302083
"Amycolatopsis",0.590446013079819
"Aeromonas",0.578253328009438
"Haemophilus",0.518147479830938
"Weeksella",0.515179482769393
"Herbaspirillum",0.465536283578
"Leclercia",0.445103477477091
"Lactobacillus",0.4232233097122
"Gardnerella",0.405354101979227
"Cronobacter",0.367148331228062
"Mycoplasma",0.34874549522241
"Fusobacterium",0.348223866956437
"Empedobacter",0.301493027083452
"Myroides",0.255420221219343
"Filifactor",0.242305111195696
"Erysipelothrix",0.208660519303427
"Methylobacterium",0.155496072117628
"Rhodococcus",0.144486074969148
"Roseolovirus",0.113774679212762
"Akkermansia",0.0994451912185664
"Fastidiosipila",0.0822797909945321
"Prevotella",0.0728832339646217
"Microbacterium",0.0708910768473631
