"Taxa","varImp"
"Staphylococcus",303.653131902934
"Acinetobacter",70.551332953202
"Mycobacterium",60.8310666012162
"Rothia",44.8792672272132
"Pseudomonas",33.5777114768086
"Clostridium",33.1556402231472
"Ralstonia",32.9901153969018
"Bradyrhizobium",29.5577428507603
"Acidovorax",26.4046734910947
"Flavobacterium",21.3391317227367
"Microbacterium",18.4267405625795
"Escherichia",16.9443623698866
"Burkholderia",16.755861303086
"Cupriavidus",15.4438978612822
"Roseomonas",14.3517498454838
"Bacillus",14.2361640853469
"Cutibacterium",12.133209850849
"Campylobacter",11.0543220613826
"Mesorhizobium",9.35444786664544
"Parvimonas",8.38329868150289
"Methylobacterium",8.36727739441044
"Dermacoccus",8.0871570659732
"Stenotrophomonas",8.06032910136598
"Pseudoxanthomonas",7.89563392531035
"Streptococcus",7.73752252210196
"Romboutsia",7.69630020925211
"Streptomyces",6.89086186982639
"Citrobacter",6.64957611309965
"Sphingobium",5.8867098085491
"Treponema",5.76503590288206
"Afipia",5.64457167221618
"Klebsiella",5.61790686800446
"Haemophilus",5.26217419052141
"Achromobacter",5.06968662588069
"Aspergillus",4.76105866590847
"Prevotella",4.559766832792
"Mycoplasma",4.42815695687402
"Paracoccus",4.29107721932768
"Legionella",4.04351280504044
"Listeria",3.85277691527512
"Gammaretrovirus",3.61758207795266
"Lactococcus",3.59622925079973
"Alphatorquevirus",3.5829711641802
"Brevibacterium",3.58248451331376
"Salmonella",3.56408017339624
"Micrococcus",3.47641800190291
"Lautropia",3.15889840168968
"Psychrobacter",3.10103385746365
"Dietzia",3.09607445397411
"Webervirus",2.92132373072521
"Vibrio",2.66129363865297
"Malassezia",2.59876970617806
"Neisseria",2.56154902742905
"Dermabacter",2.52246878867943
"Fusobacterium",2.43697789177813
"Sphingomonas",2.40040262633441
"Serratia",2.39309547863922
"Faecalitalea",2.27574559064992
"Delftia",2.19674914442476
"Enterococcus",2.15621231036603
"Comamonas",1.72596079680277
"Elizabethkingia",1.67469641406054
"Veillonella",1.64808960754804
"Abiotrophia",1.54668429339223
"Xanthomonas",1.52821608576102
"Saccharomyces",1.51145207239642
"Kytococcus",1.47828083266124
"Olsenella",1.32588994538675
"Rhodococcus",1.25011159886412
"Arcobacter",1.2440202368559
"Moraxella",1.21127479034071
"Helicobacter",1.16005946348404
"Methanobrevibacter",1.13596765980006
"Pediococcus",1.12814152588026
"Pandoraea",1.03848565922513
"Bacteroides",0.926070648944357
"Penicillium",0.831063710274137
"Blastococcus",0.766657058744888
"Anaerotignum",0.72032427434786
"Curtobacterium",0.691896271287385
"Shewanella",0.690681049268797
"Nocardioides",0.626406048439335
"Acidaminococcus",0.586608851610111
"Lactobacillus",0.586325713580009
"Rhizobium",0.565905981124618
"Alphapapillomavirus",0.557882487359729
"Anaerococcus",0.55474784169586
"Pneumocystis",0.536981607855801
"Phascolarctobacterium",0.526724323882561
"Tatumella",0.500405012630864
"Capnocytophaga",0.483397619591332
"Propionibacterium",0.467574395505011
"Lysinibacillus",0.357686976118026
"Hathewaya",0.293302849176448
"Enterobacter",0.277786061781056
