"Taxa","varImp"
"Saccharomyces",57.0123031827318
"Methylobacterium",18.5664838281835
"Afipia",17.5863609176825
"Staphylococcus",16.8390661766726
"Flavobacterium",14.0140646591436
"Microvirga",13.9690761678105
"Veillonella",8.06384541925245
"Parascardovia",7.55854184857364
"Bradyrhizobium",7.42740278812857
"Atopobium",6.4839950783596
"Treponema",6.0716293584191
"Clostridium",5.79332657768729
"Acidovorax",5.50565600972292
"Ceduovirus",4.98330325595677
"Corynebacterium",4.92745088632111
"Cedecea",4.89042770199395
"Shigella",4.72010048122055
"Tequatrovirus",4.54112292865015
"Propionibacterium",3.77344214004866
"Lentivirus",3.63785042316051
"Pluralibacter",2.83738063158107
"Chromobacterium",2.71218323566225
"Escherichia",2.34553831250104
"Ralstonia",2.33323402540666
"Rhizobium",2.09209980097939
"Finegoldia",2.07174365235438
"Cardiobacterium",1.87262227062541
"Mesorhizobium",1.5089334348961
"Kytococcus",1.50776223328168
"Massilia",1.2616965134353
"Dermabacter",1.22601197893094
"Delftia",1.22049093095357
"Cutibacterium",1.21597331253345
"Weeksella",1.11760919496596
"Paracoccus",1.00005101247806
"Sphingobium",0.947536350723906
"Rothia",0.891556531441297
"Kocuria",0.829557563095637
"Micrococcus",0.605102121897055
"Stenotrophomonas",0.589912942482589
"Neisseria",0.578084257895969
"Burkholderia",0.524537734032593
"Roseolovirus",0.408915496085972
"Agrobacterium",0.400783721907909
"Mycoplasma",0.374071456395618
"Lactobacillus",0.271806328857276
"Moraxella",0.250201361417691
"Legionella",0.219713785003775
"Cupriavidus",0.210874555985704
"Pandoraea",0.145988061710632
"Gardnerella",0.138564597781266
"Alphatorquevirus",0.135701278586283
"Bordetella",0.134793209866129
"Fusobacterium",0.131717809279164
"Actinomyces",0.12057021429089
"Actinobacillus",0.107964172134975
"Cronobacter",0.105979142896527
"Aerococcus",0.0852077656021454
"Brevundimonas",0.0763240941433056
"Agromyces",0.0709741910900744
"Curtobacterium",0.0706013904136204
"Acinetobacter",0.0623108800527389
"Streptococcus",0.061877366202884
"Parvimonas",0.0452854612234897
"Mycobacterium",0.0389429079592794
"Tannerella",0.037692296156414
"Xanthomonas",0.0337085227924119
"Gemella",0.0286670954631858
"Salmonella",0.0284970610331645
"Pasteurella",0.0266913408262979
"Prevotella",0.0176752832057907
"Anaerococcus",0.0168732700539203
"Bacillus",0.0154487625545713
"Serratia",0.0133317901391133
"Dermacoccus",0.0122611259271108
"Filifactor",0.0112017209006474
"Lactococcus",0.00896827743321634
"Brevibacterium",0.00767874641037833
"Klebsiella",0.00717603405100847
"Flaviflexus",0.00634745014447305
"Helicobacter",0.00465925614697923
"Empedobacter",0.00328892597761731
"Porphyromonas",0.00302632355578606
"Chryseobacterium",0.00276609091696759
"Selenomonas",0.00219893356776833
"Herbaspirillum",0.00198554110249812
"Amycolatopsis",0.00193920323297954
"Alistipes",0.00176226599989838
"Hafnia",0.00161737346859364
"Sneathia",0.00142269581820872
"Achromobacter",0.00137129213412703
"Sphingomonas",0.00126271188755535
"Nocardioides",0.000917263443091406
"Ezakiella",0.000654384958318927
"Tessaracoccus",0.000639762336467536
"Roseburia",0.000469950633630548
"Tatumella",0.000386602108081292
"Desulfovibrio",0.000364957836371169
"Citrobacter",0.000302084975369058
"Dolosigranulum",0.000256659332986486
