"Taxa","varImp"
"Escherichia",409.22782187766
"Shigella",218.717991833215
"Curtobacterium",96.6685996776113
"Cutibacterium",49.5664212308273
"Streptococcus",47.8494072956319
"Bifidobacterium",38.4913374154616
"Salmonella",23.8553545767236
"Bacteroides",23.6871343841467
"Clostridium",20.7990129699063
"Malassezia",19.6150600736597
"Rhodococcus",19.5738312060194
"Ralstonia",17.5028059315298
"Staphylococcus",12.3398573085967
"Moraxella",11.8247972476785
"Acinetobacter",11.2812058507979
"Lactococcus",10.751357881645
"Saccharomyces",10.4790313170926
"Xanthomonas",6.04642018201179
"Halomonas",5.70823631277296
"Paenibacillus",5.27667054118301
"Pluralibacter",4.19421082905425
"Akkermansia",4.08003194776282
"Fusarium",3.94157113336091
"Vagococcus",3.58077603719719
"Atopobium",3.37953794798581
"Granulibacter",3.05798307074541
"Bordetella",3.00075308385358
"Methylobacterium",2.86978539452535
"Citrobacter",2.86078524118742
"Comamonas",2.72934349657512
"Actinomadura",2.70443225519166
"Mesorhizobium",2.6828132282273
"Cyphellophora",1.90908911821029
"Skunavirus",1.86654556297082
"Stenotrophomonas",1.8496885422491
"Desulfovibrio",1.79546515099749
"Cardiobacterium",1.76404652482276
"Enterobacter",1.58296246424445
"Kosakonia",1.57101843919984
"Cupriavidus",1.45483799278297
"Frederiksenia",1.29282750734136
"Enterococcus",1.26455841995406
"Gordonia",1.24123003810859
"Achromobacter",1.12079502642449
"Bradyrhizobium",0.932662606391914
"Legionella",0.894255138468122
"Mycobacterium",0.838449489328348
"Chryseobacterium",0.814211672989078
"Actinomyces",0.775125471500965
"Vibrio",0.769729835280009
"Pasteurella",0.735794632841999
"Streptomyces",0.680811015383296
"Pseudonocardia",0.613184891057872
"Pseudoxanthomonas",0.608714140515252
"Brevibacterium",0.576041056661139
"Moineauvirus",0.560083327409722
"Raoultella",0.553743501823191
"Lactobacillus",0.534211417654545
"Sphingobium",0.492563515724199
"Weeksella",0.474684109129196
"Sphingomonas",0.442064673361811
"Acidovorax",0.358971715960151
"Lentivirus",0.357770572342341
"Pseudomonas",0.325244837827097
"Veillonella",0.279209163005236
"Leclercia",0.275155272007578
"Aspergillus",0.253157303411412
"Microvirga",0.147029358045078
"Butyricimonas",0.121875297358757
"Oscillibacter",0.0970286605154465
"Candida",0.0472369190712367
"Acetobacter",0.0341831680122149
