"Taxa","varImp"
"Staphylococcus",276.19894967123
"Ralstonia",127.837518203765
"Cutibacterium",116.99478409953
"Acinetobacter",62.6392344785273
"Flavobacterium",49.4162769853722
"Clostridium",37.8595961808084
"Bradyrhizobium",34.3426045848502
"Cupriavidus",28.8606087839959
"Mycobacterium",24.7308465431498
"Bacillus",24.310412777033
"Neisseria",23.7590514623401
"Burkholderia",15.6585759992884
"Haemophilus",14.3118444344511
"Sphingomonas",13.4717498333657
"Klebsiella",12.1625290689014
"Lactobacillus",11.1371183342435
"Aspergillus",7.81746215242831
"Pseudomonas",6.48883845370713
"Dermacoccus",6.38368958607665
"Roseolovirus",6.16906437469544
"Stenotrophomonas",5.75249975264524
"Legionella",4.70611198932635
"Serratia",3.96445011206653
"Sphingobium",3.76939941143547
"Microbacterium",3.21849289853784
"Cedecea",2.71637199819094
"Corynebacterium",2.44781626856555
"Flaviflexus",2.40638665650919
"Moraxella",2.30165198322298
"Rhodococcus",2.21579349004127
"Actinobacillus",2.07977314460308
"Delftia",2.00838216334201
"Alphatorquevirus",1.94370320323713
"Helicobacter",1.67835147877585
"Listeria",1.59822719252615
"Pantoea",1.21656224573131
"Rhizobium",1.13978989315907
"Cellulosimicrobium",1.06723170276203
"Faecalibacterium",1.05550042615459
"Methylobacterium",1.04223801782527
"Sphingobacterium",1.01662332234722
"Mycoplasma",0.965845139833073
"Cytomegalovirus",0.916583786801643
"Gammaretrovirus",0.863118722992332
"Roseomonas",0.855582084805341
"Leifsonia",0.750472821031075
"Fastidiosipila",0.746119638938098
"Romboutsia",0.686185924339065
"Actinomadura",0.679293927687907
"Weissella",0.668463358178364
"Pandoraea",0.634822812161978
"Butyrivibrio",0.628701855056557
"Methanobrevibacter",0.59859576795371
"Salmonella",0.594885533899388
"Brevundimonas",0.57121671119456
"Parascardovia",0.543420913813095
"Arcobacter",0.542848530836501
"Vibrio",0.542556173918651
"Lysinibacillus",0.532897211954881
"Comamonas",0.459725161736065
"Penicillium",0.457865372205634
"Myroides",0.391453001904195
"Pasteurella",0.383706291708274
"Proteus",0.380858857694456
"Enterococcus",0.324466247626486
"Mobiluncus",0.320176907851284
"Phascolarctobacterium",0.300315518101208
"Escherichia",0.299583960188521
"Rodentibacter",0.276700761358056
"Acidovorax",0.257071246196213
"Lautropia",0.236178316633148
"Leptotrichia",0.226556454484231
"Hathewaya",0.220841692323991
"Nocardioides",0.189344852564898
"Streptomyces",0.188370518906618
"Paeniclostridium",0.178489194226847
"Gordonibacter",0.16424811660565
"Malassezia",0.156231255068736
"Leuconostoc",0.152615619791299
"Tropheryma",0.151302536529947
"Rhadinovirus",0.135995565124585
"Treponema",0.128664534774954
