"Taxa","varImp"
"Mesorhizobium",142.42134156184
"Leifsonia",110.116447360253
"Burkholderia",23.7577548755556
"Stenotrophomonas",20.2106986359031
"Enterococcus",17.3467835850287
"Acinetobacter",10.9695519260637
"Candida",10.7859496278825
"Dermacoccus",10.3837787850286
"Gordonia",9.00221257733432
"Shigella",8.92683084025376
"Saccharomyces",8.70460270237346
"Escherichia",7.61853935401506
"Achromobacter",7.23068363882184
"Dolosigranulum",6.47104333359612
"Mycobacterium",6.42801816403517
"Eggerthella",6.38467150776521
"Rhizobium",6.17409222480827
"Delftia",5.38213039024325
"Ureaplasma",5.18670541601406
"Pseudomonas",4.67998079287909
"Acidovorax",4.0293981683153
"Prevotella",3.78928410900284
"Clostridium",3.738154784893
"Erwinia",3.30744734639209
"Curtobacterium",2.65335781969175
"Sphingobium",2.53297053788462
"Actinomyces",2.22822685448786
"Rothia",2.14800735813231
"Malassezia",2.14460707719818
"Oxalobacter",2.12693251319715
"Pantoea",2.07049738531235
"Paracoccus",1.89662452414901
"Bradyrhizobium",1.70981451580368
"Citrobacter",1.62777871043031
"Ralstonia",1.38451180769105
"Fusobacterium",1.27129532270846
"Neisseria",1.26699796574739
"Comamonas",1.24143062155457
"Moraxella",1.23654313106907
"Bacillus",1.16754273509722
"Staphylococcus",1.132461933611
"Methylobacterium",1.02437002181629
"Xanthomonas",0.964098850106126
"Serratia",0.951872878687911
"Tannerella",0.852065192109685
"Klebsiella",0.793564312126235
"Kocuria",0.79356038836254
"Streptococcus",0.775966660112699
"Pseudonocardia",0.600027175307109
"Cutibacterium",0.52118110294062
"Agrobacterium",0.477404071946839
"Oligella",0.446342301717498
"Herbaspirillum",0.393475846979711
"Peptoniphilus",0.368357021419927
"Streptomyces",0.34924904911801
"Shewanella",0.299836759976956
"Mycoplasma",0.283291172211544
"Veillonella",0.26498271516765
"Chryseobacterium",0.234942686946795
"Oscillibacter",0.192068998550054
"Lactococcus",0.114877291959949
"Nocardioides",0.101259072031384
"Empedobacter",0.0918521780087624
"Micrococcus",0.0779851941148622
"Selenomonas",0.0737264237849927
"Pandoraea",0.0708615401835417
"Pseudescherichia",0.0706577962576765
"Enterobacter",0.0690173085352547
"Haemophilus",0.0655744420386843
"Halomonas",0.0631963820775045
"Noviherbaspirillum",0.0597728384129902
"Rhodococcus",0.0544132901794845
"Cedecea",0.0510687920948765
"Lawsonella",0.0491899558840471
"Aspergillus",0.0395443851349772
"Lachnoanaerobaculum",0.0390666991645979
"Exiguobacterium",0.0380109978016325
"Massilia",0.0367417670923143
"Bacteroides",0.0300552509604662
"Treponema",0.0289932428980325
"Blastococcus",0.0270014885936867
"Corynebacterium",0.0169872669778258
"Roseolovirus",0.0128546607976894
"Finegoldia",0.00997411416440679
