"Taxa","varImp"
"Gordonia",63.7203584769383
"Serratia",48.7499104229434
"Clostridium",39.6520647126934
"Escherichia",25.354709986674
"Stenotrophomonas",23.5013142990798
"Comamonas",21.0943739330612
"Microbacterium",14.8122677680296
"Achromobacter",13.1551808421691
"Acinetobacter",12.4768022862435
"Staphylococcus",12.4127373716785
"Bordetella",10.453041418174
"Ralstonia",9.88522197445133
"Methylobacterium",8.90435860591762
"Bacillus",8.04117187960684
"Burkholderia",6.44874949982813
"Aspergillus",6.43475947222231
"Rothia",5.81052803233072
"Rhizobium",5.03049831463422
"Pseudomonas",4.97898523282447
"Bradyrhizobium",4.61059680624089
"Herbaspirillum",4.40548115406157
"Klebsiella",4.06773571834144
"Cupriavidus",3.73811969744013
"Abiotrophia",3.70051978940248
"Streptomyces",3.41905569163467
"Lautropia",3.23950772732868
"Olsenella",3.18122851947194
"Mesorhizobium",2.99611095034641
"Pantoea",2.91053628124652
"Curtobacterium",2.87988475217743
"Anaerococcus",2.50392094411644
"Dermacoccus",2.27789414108884
"Sphingomonas",2.14914893551133
"Acidaminococcus",2.11292216414677
"Flavobacterium",1.76468910269721
"Cutibacterium",1.58017403463802
"Sphingobium",1.5767463172477
"Massilia",1.52572050621856
"Corynebacterium",1.23705656304175
"Lactococcus",1.20974776989074
"Rhodococcus",1.17455561636272
"Ruminococcus",1.15541290385034
"Agrobacterium",1.12682712934004
"Alphatorquevirus",1.01870747279505
"Delftia",0.901092483691739
"Weissella",0.874300977039226
"Xanthomonas",0.827072728573459
"Pandoraea",0.784040636819219
"Streptococcus",0.766292660741806
"Shewanella",0.739484220846887
"Campylobacter",0.656792256362814
"Dermabacter",0.62994662901694
"Kocuria",0.629728963405228
"Bifidobacterium",0.623748201921681
"Rhadinovirus",0.577894940282809
"Exiguobacterium",0.504680952578444
"Faecalibacterium",0.456246180120756
"Enterococcus",0.414683177022022
"Brevundimonas",0.411862708127571
"Propionimicrobium",0.368237881123729
"Sneathia",0.365703635806522
"Bartonella",0.340321756061885
"Ureaplasma",0.338688050097634
"Leifsonia",0.253448346402012
"Citrobacter",0.14399460955047
"Blautia",0.143263846487428
"Malassezia",0.137637105087531
"Cellulomonas",0.136863251937463
"Mycobacterium",0.135362609332203
"Halomonas",0.123729595863689
"Pseudonocardia",0.118953355492338
"Moraxella",0.117883308349247
"Acidovorax",0.109092801997414
"Treponema",0.107324361782241
"Psychrobacter",0.0976901299767713
"Saccharomonospora",0.0954373808680107
"Bacteroides",0.0531212016342524
"Gemella",0.0467264269636726
"Lactobacillus",0.0450887153032374
"Micrococcus",0.0428033251922905
"Saccharomyces",0.0328892956310117
"Roseomonas",0.0307788597035546
"Mageeibacillus",0.0232268172217537
"Capnocytophaga",0.0230220693204561
"Roseolovirus",0.0228131058669471
"Neisseria",0.0226666121122175
"Cedecea",0.0167375028702529
