"Taxa","varImp"
"G000012845",26.6876391438181
"G000011065",18.1019897215421
"G000020425",16.8782202475588
"G000023905",6.52272851131736
"G000153905",0.151469026788712
"G000020225",0.149566212202162
"G002949675",0.141662785548226
"G000190535",0.0498708337784121
"G000024265",0.0308575964179275
"G000174195",0.0207751944621889
"G000154205",0.0130681444992598
"G000006925",0.00352362709207205
"G002959695",0.00339729469420457
"G014131755",0.00167853035190852
"G003290485",0.000364363948130012
"G000169035",0.000224418974207296
"G000013425",0.000151085773847557
"G000154125",5.28291727164336e-05
"G000159095",4.56905732849647e-05
"G009731575",3.17863200411369e-05
"G001997325",2.04076908748843e-05
"G001729705",1.66906030957466e-05
"G000025985",1.38737034174114e-05
"G000005845",1.01217731439564e-05
"G000474135",7.52394689260624e-06
"G000213995",1.53144584461761e-06
"G001729725",7.38178086602932e-08
"G000164675",6.72075371426465e-08
"G001431675",2.65135061529869e-08
"G900454715",2.17617401691127e-08
"G018128205",7.06528203535437e-09
"G000017585",8.3874708033013e-10
"G013374815",2.48457732737032e-10
"G000696675",9.7444870263831e-11
"G002849795",6.92428610241872e-11
"G016766895",4.74001412311255e-11
"G902859645",2.69646185202609e-11
"G000007145",3.19740783940564e-18
"G000182965",2.94766021899444e-30
"G000006765",1.30457872200925e-30
"G000146045",9.55599234962632e-31
"G000175615",4.33334237487128e-33
"G002091775",6.19048910695897e-35
