"Taxa","varImp"
"G002902325",156.419114953097
"G000368805",119.947037332547
"G004345805",94.524023922773
"G003290485",86.6816250830595
"G001905915",79.4618370947314
"G000190535",76.9292617824454
"G000297075",70.438250249528
"G902859695",57.0844592975465
"G000023205",48.4776211270724
"G000412995",48.035540420208
"G902374465",38.7979762192211
"G001437565",37.5207194556593
"G001431675",34.3831328605048
"G001936175",32.8752075892472
"G001591205",32.6858633959217
"G014635765",32.1953849684302
"G000146045",31.5428010633656
"G013004645",31.47737301508
"G000845205",30.9873153856644
"G020097195",28.6496572157081
"G008801405",25.3282177115458
"G900475405",23.0392037123758
"G000949655",20.6323635052728
"G001021565",19.0645246008908
"G902860085",16.6280550776991
"G003572535",16.6204630673966
"G000690815",16.1499321573949
"G004354485",14.690969154452
"G008868275",14.5134474323806
"G016599755",14.2960913810782
"G003958845",13.9813517108104
"G019931005",13.8303920020199
"G001028645",13.6654598261952
"G016726285",13.2279194110136
"G000597745",13.175270609144
"G000368665",11.98358969061
"G000175375",11.8645138408214
"G000369885",10.358776183755
"G006716905",10.3249426285742
"G016027055",10.2918127276967
"G001435015",9.95744555758536
"G000845685",9.82548218161785
"G000368045",8.69630506758957
"G000184945",8.37881151997697
"G002154655",8.13002373798551
"G000008185",7.6685583333707
"G003970495",7.64979837802735
"G002902465",7.12827964760678
"G001456385",6.97774198630392
"G014138435",6.44949888588509
"G016726365",6.42354715952477
"G900455635",6.23374088040621
"G900240005",6.17757108979653
"G900457095",6.1079561412204
"G000196015",6.06797218067782
"G000429225",6.0274105836821
"G000006765",5.68617264048952
"G016466415",5.64422406224741
"G018128125",5.62929689050811
"G019355975",5.37126321976845
"G000175615",5.16327260729789
"G001742165",5.0829871801202
"G003571725",4.98807524228338
"G001571325",4.86923203060331
"G016117815",4.8454376840001
"G008692995",4.72848436329276
"G001598795",4.56860991057725
"G900455835",4.49944818343384
"G900457215",4.38799284129031
"G009648935",4.38335625463351
"G000005845",4.25140205382621
"G000848125",4.23985158704961
"G001663855",4.17171572955827
"G000382825",4.15167995391207
"G000613925",4.05927598129032
"G000173915",3.92108074073376
"G002901925",3.91869790971757
"G019375915",3.8340283972875
"G903886475",3.77286493126745
"G002901845",3.5167194558993
"G002949675",3.50225940792512
"G009495405",3.15993765303703
"G900095845",3.09152783863238
"G004354505",2.95838895902545
"G000188295",2.9505760767262
"G000154205",2.93853978407009
"G000741825",2.92414084364734
"G000006925",2.86766293566987
"G000160015",2.73926900332276
"G002986195",2.71911080587156
"G000174755",2.70466456455182
"G001045685",2.67589835705693
"G010120595",2.60157711131924
"G000318135",2.56110459733152
"G016027815",2.50965401087723
"G006742205",2.50734611119522
"G000368765",2.50493961823861
"G001997185",2.40218218722489
"G001457615",2.32141570690994
"G006546825",2.18856343956696
"G000902695",2.18307662808036
"G900444865",2.14575793608565
"G900455895",2.01901627555934
"G002901765",1.9984531553739
"G019890915",1.98190156814795
"G003812505",1.80671275126858
"G900186975",1.79418860012908
"G011612265",1.7102338985948
"G001700755",1.70988218491969
"G001071155",1.62196047398626
"G900454435",1.58386070596969
"G900185755",1.44716051402425
"G000160055",1.41697535703547
"G900637515",1.31870825973594
"G902858935",1.30524717331593
"G000429265",1.29579302735531
"G001932995",1.29214366977143
"G902363055",1.29208477250003
"G002076835",1.24115246303857
"G000903575",1.22136610004138
"G000164695",1.21550133342115
"G000275805",1.15120488411513
"G011612585",1.04782883386096
"G001679175",1.01431788985254
"G013408445",1.00536584990688
"G000463665",0.956186512977443
"G000428965",0.939942428121316
"G000147675",0.926554798869718
"G019972875",0.896836607976183
"G001553955",0.893124794718225
"G001997325",0.852673954383077
"G900458635",0.851534783327564
"G016028835",0.789376525039061
"G000008865",0.766820598955106
"G000392875",0.764154924908031
"G013410305",0.75434724313668
"G000154405",0.731251192554432
"G000210695",0.72304465740443
"G003710885",0.701614966866316
"G900107225",0.678538612009716
"G910576415",0.672547363279923
"G000156615",0.649985624845956
"G900637985",0.627001279520058
"G016127415",0.610487794628248
"G001405615",0.59619170996807
"G000157935",0.576958260602561
"G006739205",0.575745322622145
"G017753665",0.543297489924443
"G900107315",0.530753161261809
"G000017585",0.51757091760706
