"Taxa","varImp"
"G020179495",528.610844818812
"G000840245",181.608884695966
"G001663855",131.442062190584
"G000146045",130.341726215252
"G020341455",116.131324081168
"G902859645",87.0745825774012
"G003423365",79.9701501590031
"G008801405",60.107670811486
"G902374465",49.2392525140274
"G003571725",33.9239622175359
"G900457095",32.2027899903242
"G002901765",30.9806693682051
"G001006485",29.84010124341
"G014138435",29.1146506051411
"G000238795",24.8714145472127
"G000734955",21.675356716492
"G003697165",20.8747102355816
"G016726365",20.0363502368715
"G016726285",18.6574751779658
"G013374815",17.8418394339585
"G003572535",13.7698989681721
"G000005845",12.9540110466465
"G000220255",12.6585637772105
"G002087975",10.5904471136844
"G000846365",10.2909531271672
"G000690815",10.0858912515741
"G000845685",10.0182884260594
"G004345805",9.823602445526
"G900475405",9.24912502190662
"G903886475",8.43236399678872
"G002959895",8.34277127591921
"G900186865",8.18201494283813
"G900475815",7.90539599695549
"G000006925",7.69771269079831
"G000818035",7.33594673255773
"G001431675",6.63562125600892
"G000174755",5.42106356227816
"G000818595",5.35094110842017
"G000903575",5.14118350315311
"G000848125",5.10348251431858
"G000158615",5.00041067118391
"G900187105",4.92035167780111
"G013004645",4.81418422107074
"G900454935",4.19204454427417
"G003054025",4.05993852800817
"G017638885",3.87255677471294
"G000191065",3.82003121136258
"G000144405",3.65345451931423
"G006094375",3.42841853923419
"G900636385",3.38311734248806
"G000175615",3.26590223403261
"G000701685",3.21565550840184
"G000597745",3.11175223250288
"G000743455",3.06475932840902
"G000328885",3.0582324745018
"G000006765",2.99784151899528
"G006742205",2.93590163728068
"G004125815",2.85347624775437
"G001905915",2.82003260708207
"G013410305",2.64279000264108
"G001700755",2.48374769807236
"G000613925",2.41144586916637
"G020735785",2.26284716644262
"G016599755",2.22678467316666
"G019930845",2.16304626344249
"G003812505",2.13147499083379
"G002758635",2.12795491659603
"G000010505",2.12553702548177
"G000023905",2.10135151855765
"G016466415",2.09837539529774
"G000154205",2.06195812509357
"G000377625",2.0452636266613
"G900458635",1.97805244042379
"G000153625",1.9031460339521
"G000159995",1.86064516727464
"G000188295",1.68475478285811
"G006739205",1.59884345307188
"G900444865",1.54131143548719
"G000148585",1.47749896823836
"G001750725",1.37033108925968
"G902375065",1.24433228715538
"G000164675",1.19187432482331
"G910576415",1.18813131200231
"G001041635",1.17253375127529
"G900187995",1.1677538110216
"G003970495",1.16401404214575
"G000382825",1.15916002597193
"G000177435",1.15413158826735
"G006385365",1.02694636301454
"G003269275",0.99864353748073
"G000347875",0.997170147470011
"G000164695",0.924450680094962
"G900636445",0.912396409968997
"G001457635",0.888078927866247
"G006546825",0.88187315952225
"G000194945",0.817705578392144
"G000221985",0.797672307002754
"G000477535",0.785052771684972
"G000154105",0.770636728732497
"G000175375",0.770251715619957
"G014202695",0.764935953972978
"G002847555",0.743831343174849
"G008801675",0.713565008254602
"G000368765",0.694328662089139
"G013408445",0.657711417817734
"G000012845",0.636205079254377
"G003290485",0.634917645086764
"G000426605",0.597439024107047
"G002901925",0.577551705530093
"G001544155",0.550462933270034
"G000187585",0.523664208810096
"G000279975",0.395733904059661
"G001932995",0.374147031794361
"G900458605",0.348170016417429
