"Taxa","varImp"
"Rhodococcus",53.2122870676652
"Mastadenovirus",32.4241300085648
"Serratia",27.1661200113753
"Methanobrevibacter",17.6448665527201
"Mobiluncus",16.5822822635967
"Acidaminococcus",15.0633102559982
"Barnesiella",7.59271716801302
"Ralstonia",6.39042843318374
"Burkholderia",5.3463787123588
"Alphapapillomavirus",4.98446373314184
"Escherichia",4.64757411757667
"Rothia",4.46048359768263
"Acinetobacter",4.17000572451948
"Sphingobium",4.03448899501816
"Delftia",3.71818655158814
"Cutibacterium",3.0816284401771
"Comamonas",2.7397453141099
"Clostridium",2.63470601149066
"Neisseria",2.51660434837529
"Bacteroides",1.89045829154447
"Stenotrophomonas",1.75885104547048
"Streptococcus",1.62045934663088
"Pseudomonas",1.2181414421448
"Sphingomonas",1.19899367050797
"Lymphocryptovirus",1.17248916799344
"Bifidobacterium",0.942967884987374
"Mogibacterium",0.656484316099494
"Finegoldia",0.649663166246326
"Peptoniphilus",0.615693401452701
"Staphylococcus",0.5142984295311
"Butyricimonas",0.477336840268586
"Candida",0.449234241805777
"Veillonella",0.373864211938358
"Parvimonas",0.325509018065813
"Haemophilus",0.278950716305507
"Gemella",0.218254366969385
"Shigella",0.18716156527171
"Rhizobium",0.169381878061607
"Clostridioides",0.125893921190095
"Fusobacterium",0.0976126179223577
"Cardiobacterium",0.0845600197894064
"Roseomonas",0.080505406661028
"Scardovia",0.0637854984799215
"Faecalibacterium",0.0605580091899799
"Saccharomyces",0.0224126634464924
"Alistipes",0.0205019305603227
"Prevotella",0.0147724429253645
"Megamonas",0.00719839085670822
"Roseolovirus",0.00230010522881715
"Selenomonas",0.00219846176946222
"Lactobacillus",0.00198883642446473
"Leptotrichia",0.00123303888414891
"Filifactor",0.000399367423491613
"Anaerococcus",0.000308808236996768
"Lachnoanaerobaculum",0.000258819946074634
"Capnocytophaga",0.000162261865245041
"Bacillus",2.32587183748066e-05
"Enterococcus",1.71514016994732e-05
"Moraxella",1.61279812292774e-05
"Alcaligenes",1.26923567227354e-05
"Mesorhizobium",6.01603255742904e-06
