"Taxa","varImp"
"Mastadenovirus",1469.56066530189
"Brucella",371.818003803493
"Stenotrophomonas",108.86875048122
"Rhodococcus",51.883843918587
"Pseudomonas",50.876211474432
"Bradyrhizobium",46.6912434170279
"Delftia",37.1456711263621
"Cellulosimicrobium",25.2774510414926
"Achromobacter",23.0499778112562
"Mesorhizobium",17.5776576462954
"Citrobacter",15.3998617343649
"Escherichia",15.175581953677
"Sphingobium",14.6102088362441
"Cutibacterium",11.14521929353
"Roseburia",7.53944651276239
"Anaerococcus",7.27572389620066
"Saccharomyces",6.69658554641419
"Neisseria",6.46428630599144
"Raoultella",6.01610343564867
"Salmonella",5.69234244449037
"Agromyces",4.79405754239506
"Burkholderia",4.46502078624735
"Acinetobacter",4.16505055329714
"Klebsiella",4.04515543544306
"Enterobacter",3.62553836269285
"Erysipelatoclostridium",3.44775927429566
"Shigella",3.33653802141036
"Serratia",2.72630181990754
"Kosakonia",2.68730831815176
"Malassezia",2.4086129576424
"Pseudoxanthomonas",2.29690928015594
"Methylobacterium",1.94489388177553
"Arthrobacter",1.86728337026142
"Streptococcus",1.81379689211749
"Leclercia",1.64548451379508
"Xanthomonas",1.59532520199136
"Gordonia",1.56653760581419
"Sphingomonas",1.46788204157872
"Sepunavirus",1.39335544318506
"Veillonella",1.34877862138298
"Leuconostoc",1.34324948788996
"Parabacteroides",1.3413500847551
"Flavobacterium",1.25768433068032
"Elvirus",1.22827483615029
"Comamonas",1.22735245420346
"Sphingobacterium",1.22131035634235
"Roseomonas",1.20657912939704
"Rahnella",1.1703123055733
"Ralstonia",1.13420208771147
"Providencia",1.06766185887499
"Arcobacter",1.05927993401619
"Acidovorax",0.969273660731112
"Actinomyces",0.924373368738019
"Micrococcus",0.863481878121486
"Microbacterium",0.803287176169863
"Vibrio",0.740236460954056
"Kingella",0.706941808283623
"Phietavirus",0.675624769269241
"Blautia",0.670791959471615
"Elizabethkingia",0.670215563747984
"Afipia",0.64134892806479
"Brevibacterium",0.603967098226795
"Cedecea",0.603130092293722
"Aspergillus",0.594420720210946
"Actinomadura",0.575671808101011
"Massilia",0.562242110023036
"Moraxella",0.557573330696029
"Lactobacillus",0.484176446157432
"Alphatorquevirus",0.482481890900402
"Kocuria",0.463614150538199
"Capnocytophaga",0.456389680166179
"Dolosigranulum",0.450551107008985
"Leptotrichia",0.442167208825683
"Fusarium",0.425576862910538
"Lymphocryptovirus",0.424374181317004
"Atopobium",0.352558890401527
"Empedobacter",0.311176615033522
"Peptoniphilus",0.301632986740886
"Cupriavidus",0.298868458355177
"Lentivirus",0.289842690507178
"Akkermansia",0.287892528807372
"Tatumella",0.279789593279792
"Mycobacterium",0.240951395640964
"Candida",0.237348954098799
"Prevotella",0.225962859384891
"Rothia",0.187316832202142
"Aeromonas",0.174453340094608
"Proteus",0.173122987661875
"Pluralibacter",0.171620189869345
"Pseudescherichia",0.165970740133029
"Kluyvera",0.161149298850917
"Granulibacter",0.155394732626249
"Cronobacter",0.1538992474672
"Alistipes",0.130976612049643
"Faecalibacterium",0.0843567977366171
"Clostridium",0.0795670886938403
"Staphylococcus",0.0554904875915696
"Aggregatibacter",0.0514088654354599
"Curtobacterium",0.050008417281913
"Streptomyces",0.0491660346419169
"Bifidobacterium",0.0456046780034959
"Erwinia",0.0354067843741476
