"Taxa","varImp"
"Tequatrovirus",1654.90541469664
"Staphylococcus",234.4946372676
"Intestinimonas",231.905305277108
"Clostridium",181.157653596109
"Streptococcus",94.2910894024152
"Cellulosimicrobium",74.3969548709399
"Bacteroides",22.8435927933831
"Prevotella",12.4673421141728
"Turicibacter",11.1976471226377
"Alphapapillomavirus",9.1807613888299
"Fusobacterium",9.1324312884486
"Acinetobacter",8.79289956217165
"Aspergillus",7.93044771027269
"Leifsonia",4.71091649537786
"Alistipes",4.5666977302345
"Bacillus",4.35551660066083
"Porphyromonas",4.16848489648422
"Malassezia",4.11794321242517
"Cutibacterium",4.07308510398434
"Parabacteroides",3.87857753708755
"Methylobacterium",3.8085513369328
"Candida",3.03114814758045
"Rahnella",2.98508234531116
"Weissella",2.70487867037857
"Lactobacillus",2.56013429142007
"Simplexvirus",2.30378324927444
"Xanthomonas",2.11866961820156
"Alcaligenes",1.68212612070266
"Ralstonia",1.52695858975573
"Brucella",1.10245092495289
"Sneathia",0.967776183917848
"Butyricimonas",0.89964393268675
"Chryseobacterium",0.864837557496917
"Rothia",0.813229342956279
"Herbaspirillum",0.737075139428206
"Pseudomonas",0.700825396914026
"Fusarium",0.660740174960089
"Peptoniphilus",0.524190523032456
"Saccharomyces",0.462966517851874
"Leuconostoc",0.452583977429954
"Brevundimonas",0.450989792461553
"Paenibacillus",0.425517657706859
"Flavobacterium",0.386390802881438
"Comamonas",0.348793588232762
"Sphingobium",0.347646944322002
"Serratia",0.331550935209661
"Gordonia",0.312609401964683
"Kocuria",0.297315665051785
"Mycoplasma",0.29216748853634
"Cedecea",0.237997481007097
"Rhodococcus",0.202451179161304
"Stenotrophomonas",0.175648710323142
"Treponema",0.168477793397105
"Bradyrhizobium",0.165913300641735
"Gordonibacter",0.165817054111275
"Phascolarctobacterium",0.107372855717005
"Ureaplasma",0.0899378792608743
"Akkermansia",0.0814604051987363
"Rhizobium",0.0758575941175759
"Delftia",0.0663161659539723
"Haemophilus",0.0614893469181518
"Mycobacterium",0.0473548789806789
"Gardnerella",0.0208723161264933
