"Taxa","varImp"
"Staphylococcus",588.697105926381
"Gordonia",231.345787345566
"Pseudomonas",169.362221947301
"Rhizobium",159.374168258648
"Haemophilus",100.520652880194
"Acinetobacter",88.6033601550784
"Parabacteroides",64.5068975926168
"Gemella",62.8502864848966
"Ruminococcus",62.607211894164
"Selenomonas",61.847907844372
"Enterococcus",57.628920263994
"Phascolarctobacterium",54.8598201810072
"Veillonella",50.5220554254361
"Moraxella",47.6653353868301
"Mycobacterium",45.5186646791569
"Clostridium",32.7222121818125
"Butyricimonas",32.293663039727
"Shigella",30.9328173064963
"Prevotella",30.4258029538693
"Hydrogenophaga",24.2509505683177
"Serratia",23.388371837966
"Klebsiella",22.4947989397428
"Lactococcus",21.6251569301784
"Massilia",19.6765333483732
"Streptococcus",16.4998100875007
"Acidovorax",13.8964604734953
"Comamonas",11.1120879148156
"Anaerococcus",9.32547880189898
"Faecalibacterium",9.0682317090982
"Saccharomyces",8.40618714470199
"Diaphorobacter",7.73807241933965
"Escherichia",7.16930053139081
"Alistipes",6.41713065456346
"Dietzia",5.96867383334221
"Novosphingobium",5.65297280766238
"Stenotrophomonas",5.63105481247558
"Malassezia",5.25504786485645
"Corynebacterium",5.23985915500654
"Curtobacterium",5.22285840089914
"Cloacibacterium",5.21638788889892
"Barnesiella",5.12704285765073
"Trichoderma",4.62684781857082
"Arcobacter",4.54720508788307
"Bacillus",4.17038495341616
"Achromobacter",4.06557133175025
"Sphingobium",3.85803071810159
"Capnocytophaga",3.81000206859575
"Lautropia",3.64338330789006
"Fusobacterium",3.57869078138306
"Enterobacter",3.5622809355036
"Neisseria",2.76109291663056
"Nocardioides",2.68120977049015
"Actinomyces",2.52431814834661
"Pseudoalteromonas",2.35393551449147
"Gardnerella",2.3125141757948
"Blastococcus",1.9834731416569
"Leptotrichia",1.97311079021553
"Rhodococcus",1.94590797531913
"Agrobacterium",1.90900975880461
"Janthinobacterium",1.87894367399364
"Candida",1.8759708007395
"Gluconacetobacter",1.8574028195201
"Anaerostipes",1.79712420140351
"Arthrobacter",1.7056286501627
"Porphyromonas",1.70346925292048
"Streptomyces",1.69839455272546
"Eikenella",1.49687808576178
"Sporisorium",1.33871088487835
"Kocuria",1.3345927171401
"Chryseobacterium",1.30024577462542
"Cardiobacterium",1.17570499991601
"Ustilago",1.16669074919147
"Rothia",1.12519534633985
"Halomonas",1.07277365381566
"Akkermansia",1.04279340283752
"Dialister",0.959324084275653
"Pantoea",0.924741968821653
"Exophiala",0.912949292209915
"Yarrowia",0.890883419205809
"Tessaracoccus",0.84929927888441
"Mucor",0.75414631177303
"Citrobacter",0.754138710178808
"Salinicoccus",0.753836930373806
"Pseudoxanthomonas",0.710214814656972
"Bacteroides",0.681911833590399
"Propionimicrobium",0.608160429270866
"Micrococcus",0.544501968813167
"Geobacillus",0.529333085225674
"Devosia",0.494166081652733
"Lactobacillus",0.489131182011403
"Peptoniphilus",0.38390525572171
"Luteimonas",0.348893070629754
