"Taxa","varImp"
"Turicibacter",1152.2139198933
"Alcanivorax",510.600757883554
"Staphylococcus",337.511824921128
"Dietzia",169.432446970523
"Sutterella",129.530617355189
"Streptococcus",112.481176546984
"Prevotella",42.6135766338351
"Aspergillus",19.0860205197116
"Moraxella",14.339167799274
"Treponema",10.3153705526484
"Serratia",8.19988137430386
"Candida",6.05234080261719
"Clostridium",5.38106952304221
"Alistipes",5.19222629363346
"Gardnerella",4.57315786265723
"Bacteroides",4.0272744031479
"Pseudomonas",3.81890142184043
"Saccharomyces",3.77279754344404
"Massilia",2.57663677319852
"Aggregatibacter",2.56122537633782
"Collinsella",2.54306368336919
"Exiguobacterium",2.10084852805924
"Hydrogenophilus",2.0595431598789
"Mucor",1.98950191048213
"Peptoniphilus",1.85712726586991
"Anaerococcus",1.72274406588477
"Eggerthella",1.33172255874625
"Fusobacterium",1.25394791724242
"Acinetobacter",1.21503453278811
"Malassezia",1.19919893398001
"Akkermansia",1.12336861198797
"Porphyromonas",1.09981454678634
"Flavobacterium",1.0137608806528
"Cloacibacterium",0.921330544332079
"Eikenella",0.875072711551139
"Leptotrichia",0.874033653605025
"Paludibacter",0.867966567318409
"Atopobium",0.83533021589989
"Friedmanniella",0.705250754343993
"Propionibacterium",0.699809685535445
"Rhizopus",0.694621002018759
"Micrococcus",0.661759467972593
"Corynebacterium",0.609182413095162
"Tannerella",0.540685527623057
"Pseudoxanthomonas",0.527881890806722
"Rhizobium",0.526490242414861
"Campylobacter",0.469066456670315
"Veillonella",0.452420265705918
"Haemophilus",0.449223487706833
"Lachnoanaerobaculum",0.447591457627375
"Lachnospira",0.44651500355962
"Blautia",0.422418543458054
"Yarrowia",0.398976016037124
"Enterobacter",0.393080929977638
"Nocardioides",0.369032775875753
"Skermanella",0.368455348226135
"Ruminococcus",0.367506471959404
"Shigella",0.336935892751921
"Lactococcus",0.317985531877554
"Mobiluncus",0.308504366513413
"Bacillus",0.289101273613014
"Odoribacter",0.255929531855269
"Mogibacterium",0.218275532759065
"Capnocytophaga",0.201350028920893
"Klebsiella",0.153025789204622
"Naganishia",0.152080997124311
"Pseudonocardia",0.135728115776393
"Hydrogenophaga",0.132986209185729
"Rothia",0.0492313588697921
"Deinococcus",0.0470690678095117
"Cellulomonas",0.0431350074688711
"Janthinobacterium",0.0395918524720046
"Rhodococcus",0.0361693364064295
"Bifidobacterium",0.0260917143644384
"Stenotrophomonas",0.0258391685583342
