"Taxa","varImp"
"Staphylococcus",333.467702583534
"Shigella",247.633033100141
"Streptococcus",110.661065070255
"Gordonia",105.748396891845
"Clostridium",92.3946636203531
"Odoribacter",87.6730756177608
"Mycobacterium",87.5053418365251
"Rothia",80.5832213816327
"Finegoldia",54.50062984022
"Acidovorax",47.2482969963597
"Micrococcus",38.3801479591546
"Leptotrichia",36.813987625883
"Achromobacter",31.6508312531946
"Flavobacterium",27.7849125183362
"Roseomonas",26.4281959177429
"Desulfovibrio",26.2121974221672
"Stenotrophomonas",24.767043443697
"Pseudoxanthomonas",24.5114686659625
"Peptoniphilus",21.510638838623
"Proteus",20.8101875968279
"Enterococcus",20.6806060045169
"Rhizobium",17.6653675197056
"Comamonas",17.5312286473567
"Erwinia",14.155337319053
"Corynebacterium",14.0494566856773
"Klebsiella",13.8598779710214
"Penicillium",13.2628878807671
"Acinetobacter",13.1374325344145
"Chryseobacterium",12.4253463165724
"Porphyromonas",11.2622705257201
"Devosia",10.9484013015867
"Janthinobacterium",10.3255473966626
"Paracoccus",10.2668903096823
"Faecalibacterium",10.2457248305232
"Sphingobium",9.81862319185425
"Brachybacterium",9.68648852055167
"Pseudomonas",9.63390065385665
"Curtobacterium",8.78045549094893
"Diaphorobacter",8.30611100340333
"Hydrogenophaga",8.29999258234165
"Anaerostipes",7.70574861226029
"Parabacteroides",7.69238806767034
"Lactococcus",7.18850388958328
"Massilia",7.12902918553734
"Cloacibacterium",6.94342172477576
"Ruminococcus",6.87451666095685
"Capnocytophaga",6.74213179240353
"Lactobacillus",6.65644645896952
"Agrobacterium",6.53673434725125
"Veillonella",6.14739811891988
"Shewanella",5.78479499277612
"Azospirillum",5.63777235182201
"Bacillus",4.59455243396852
"Dietzia",4.56745424421031
"Cryptococcus",4.54985487445951
"Actinomyces",4.37314307900067
"Pseudoalteromonas",4.11204032318364
"Malassezia",3.74012430861813
"Methylobacterium",3.61891856177016
"Tannerella",3.42285472413625
"Halomonas",3.383711509689
"Weissella",3.22567450315755
"Rhodococcus",3.15591641331814
"Rheinheimera",3.121209044043
"Arthrobacter",2.9758288749137
"Eikenella",2.9751259601186
"Planomicrobium",2.86471900163459
"Novosphingobium",2.68221778884612
"Paenibacillus",2.6721001576856
"Rickettsia",2.60506480790289
"Flavonifractor",2.56664942395861
"Alistipes",2.4466021576977
"Propionibacterium",2.36292140234304
"Citrobacter",2.18050505596292
"Treponema",2.1443609613482
"Coprinopsis",1.94111759193517
"Escherichia",1.90530643908858
"Brevundimonas",1.85262675060141
"Haemophilus",1.69647779639169
"Aspergillus",1.57189261231754
"Rhodobacter",1.55489944920588
"Enterobacter",1.54038704664068
"Streptomyces",1.53862735803059
"Saccharomyces",1.45666740378311
"Fusarium",1.45327391011931
"Roseburia",1.44745149226771
"Gardnerella",1.41506495671856
"Prevotella",1.25291249163763
"Leuconostoc",1.15212084660115
"Brevibacterium",1.04308258358824
"Aggregatibacter",1.02348196012123
"Bifidobacterium",1.02068413589133
"Talaromyces",0.937991530429443
"Alcanivorax",0.890011593941723
"Serratia",0.859170131589792
"Cyphellophora",0.852454787555188
"Pseudonocardia",0.730138136782066
"Geobacillus",0.673749639615627
"Collinsella",0.620743513275573
"Ornithinimicrobium",0.577100547840611
"Ustilago",0.569532014086705
"Paludibacter",0.547892477749874
"Modestobacter",0.480296154749374
