"Taxa","varImp"
"Gardnerella",67.1486749645663
"Capnocytophaga",33.069610890364
"Shigella",28.7885877640486
"Phascolarctobacterium",26.7007227059399
"Nesterenkonia",24.6921074146155
"Alistipes",12.0405471566308
"Naganishia",3.08773823105632
"Diaphorobacter",1.46030227663252
"Oscillibacter",0.190822301675894
"Roseburia",0.158027344961585
"Saccharomyces",0.123235005899184
"Veillonella",0.122818841809458
"Actinomyces",0.0972334630302029
"Malassezia",0.0602482302826473
"Enterococcus",0.0149320159517068
"Brachybacterium",0.0132047787952647
"Barnesiella",0.00568575941593205
"Stenotrophomonas",0.000716930166982477
"Rhodocytophaga",0.000157691937029112
"Peptoniphilus",0.000135636647428045
"Paracoccus",4.09678686259251e-05
"Escherichia",3.11280566563198e-05
"Butyricimonas",2.94174735371391e-05
"Arthrobacter",2.35826026930416e-05
"Neisseria",1.80095198825274e-05
"Parabacteroides",1.0344365477576e-05
"Agrobacterium",7.32392158592067e-06
"Candida",5.62999119553483e-06
"Rhodococcus",4.06579848135829e-06
"Chryseobacterium",3.85932990725021e-06
"Leuconostoc",3.52258726868961e-06
"Deinococcus",3.26938816935599e-06
"Brevibacterium",2.78728082788213e-06
"Rhizobium",2.73245167418333e-07
"Ruminococcus",1.39973401839333e-07
"Corynebacterium",6.53712112400261e-08
"Cloacibacterium",2.19178536929414e-08
"Staphylococcus",1.11663191645693e-08
"Achromobacter",1.07589548934096e-08
"Citrobacter",3.65227182835505e-09
"Porphyromonas",3.18972169178571e-09
"Anaerococcus",1.82865966409322e-09
"Comamonas",1.13581121438752e-09
"Gemella",1.11081172736416e-09
"Rothia",4.57019975091609e-10
"Solibacillus",2.85881815707501e-10
