"Taxa","varImp"
"Alcanivorax",6202.52129373106
"Paenibacillus",3661.12794948728
"Achromobacter",1224.96596300258
"Atopobium",929.658092194657
"Massilia",358.037961479033
"Halomonas",141.68908156724
"Paracoccus",133.1594733623
"Diaphorobacter",86.4504117708842
"Bulleidia",72.1000197877244
"Lysinibacillus",70.4025439789123
"Agrobacterium",66.8661264331213
"Porphyromonas",50.7093566907803
"Salinimicrobium",48.1901885649484
"Pseudomonas",37.3203435227646
"Luteimonas",35.7766712767122
"Acinetobacter",32.613795134312
"Devosia",30.8422484370256
"Arthrobacter",30.8409267237572
"Streptococcus",25.2697874468866
"Mycobacterium",23.8826985266867
"Alloscardovia",19.033548623426
"Alistipes",15.0028026400595
"Novosphingobium",14.7147921849232
"Anaerococcus",14.1201193334799
"Paludibacter",13.9882030379942
"Tannerella",12.8048495914891
"Dietzia",12.0271337782834
"Sphingobium",11.9534609619611
"Prevotella",11.7184897595391
"Marmoricola",10.8129974849058
"Blastococcus",9.0661901530066
"Azospirillum",8.98526174502154
"Rubellimicrobium",8.79799783981189
"Alcaligenes",8.63708635885438
"Comamonas",8.58362936913511
"Rhodococcus",7.12973957975073
"Gluconacetobacter",5.95877365431905
"Alloiococcus",5.8329570308153
"Collinsella",5.71040439953741
"Desulfovibrio",5.46757845372766
"Flavobacterium",4.95911610807384
"Rothia",4.80924418162866
"Deinococcus",4.78014466508994
"Holdemania",4.68072737179224
"Stenotrophomonas",4.67456996171898
"Corynebacterium",4.51645679993883
"Cellulomonas",4.16778270652298
"Aeromonas",4.04023318168249
"Weissella",3.51044588306333
"Alishewanella",3.34475679925459
"Solibacillus",3.13187738784365
"Rhodobacter",3.06494528542837
"Scardovia",2.92541931891303
"Treponema",2.85720869441755
"Peptoniphilus",2.55490352408548
"Mogibacterium",2.49415115289204
"Nocardioides",2.41524782847516
"Enterobacter",2.39848841754675
"Bifidobacterium",2.39364295276587
"Pantoea",2.32208279333617
"Pseudoalteromonas",2.25666390843909
"Geobacillus",2.17401392969528
"Alkalibacterium",2.10882860768649
"Oscillibacter",2.08779547824144
"Klebsiella",2.05379219991859
"Lactobacillus",1.98727874126919
"Gemella",1.96503299805812
"Salinicoccus",1.95165412910367
"Erwinia",1.94968690023589
"Myroides",1.88570255871569
"Alkanindiges",1.80292959935724
"Butyricimonas",1.7870123252328
"Serratia",1.77549237852329
"Bacteroides",1.6788928013858
"Gardnerella",1.65886118333585
"Lachnobacterium",1.5648014528251
"Methylobacterium",1.53230722748902
"Ornithinimicrobium",1.48095307285141
"Acidovorax",1.41443102741162
"Noviherbaspirillum",1.37192625005957
"Anaerostipes",1.3535090090689
"Oribacterium",1.24020632013365
"Odoribacter",1.20150763914244
"Ethanoligenens",1.17918527449044
"Anoxybacillus",1.10341904784881
"Lachnoanaerobaculum",1.07028323158307
"Proteus",1.02830013925328
"Parvimonas",1.01207479301959
"Pseudonocardia",0.992515599452892
"Modestobacter",0.964851488753704
"Sutterella",0.953323694422679
"Leuconostoc",0.940240585305067
"Actinomyces",0.916028338081944
"Flavonifractor",0.856342138610215
"Rickettsia",0.786886529587926
"Thermomonas",0.751248080782239
"Exiguobacterium",0.719302959652182
"Shigella",0.700883515927786
"Roseomonas",0.614988429422522
"Adhaeribacter",0.608373374958912
"Afifella",0.559246660126772
"Brachybacterium",0.5361223586874
"Kocuria",0.512000671974368
"Cardiobacterium",0.427368286558629
"Neisseria",0.422732360687307
"Arcobacter",0.259755531201701
"Dorea",0.17662663532161
