"Taxa","varImp"
"Brevibacterium",3767.82841532768
"Alcanivorax",2033.50231101066
"Streptococcus",1105.45302610499
"Treponema",973.625387204042
"Comamonas",820.575171695483
"Sphingobium",539.932529572433
"Bacteroides",499.996348749252
"Williamsia",397.732135839057
"Stenotrophomonas",395.205275190579
"Acinetobacter",357.665486398797
"Proteus",250.638663979446
"Novosphingobium",230.912946270513
"Fusobacterium",210.070685904658
"Lysinibacillus",142.671658205751
"Pantoea",137.595133254868
"Curtobacterium",107.292379023428
"Enterobacter",89.5066407781066
"Aggregatibacter",84.7678343458853
"Tannerella",73.414918451334
"Alcaligenes",71.2311285409161
"Anaerococcus",62.7007214029404
"Brachybacterium",53.2466184838228
"Rubellimicrobium",49.8683536849334
"Devosia",47.7630465751677
"Aerococcus",37.7078936798273
"Collinsella",36.6545228751502
"Roseomonas",33.0785348014571
"Lautropia",30.52719584607
"Luteimonas",30.0983285374254
"Paenibacillus",24.2761776078246
"Parabacteroides",20.9560925235356
"Gardnerella",18.4335271064288
"Clostridium",17.8007729253826
"Shigella",17.3327612945786
"Brevundimonas",16.7901154650053
"Deinococcus",11.5730689168594
"Planomicrobium",9.61509743339
"Parvimonas",8.47588430994302
"Lactococcus",8.15883199096422
"Tepidimonas",7.70444466583354
"Neisseria",7.46892037571222
"Propionibacterium",6.63856050365456
"Bacillus",5.70289231179819
"Aeromonas",5.29077338362124
"Staphylococcus",5.24837044557354
"Janibacter",5.01815409004669
"Rhodococcus",4.95550954615746
"Agrobacterium",4.79835617187216
"Flavonifractor",4.41032102046124
"Butyricimonas",4.18261876825518
"Bilophila",4.00737504356362
"Gordonia",3.04572444675082
"Actinomyces",2.79588917782591
"Citrobacter",2.60326941870919
"Massilia",2.33371737048643
"Achromobacter",1.90734933406352
"Selenomonas",1.63880849346073
"Gemella",1.41998279276501
"Actinobacillus",1.34039593211573
"Peptostreptococcus",0.955260735268974
"Acetivibrio",0.734990795748411
"Nesterenkonia",0.712174526536656
"Pseudomonas",0.692140693150846
"Alkalibacterium",0.683297514942474
"Methylobacterium",0.662238801171315
"Prevotella",0.556649981941126
"Kocuria",0.543858832607675
"Shewanella",0.525573533700433
"Paracoccus",0.514075386813414
"Atopobium",0.487858649032315
"Blastococcus",0.44089675905638
"Finegoldia",0.378335273831704
"Klebsiella",0.344401962253368
"Capnocytophaga",0.308299010426119
