"Taxa","varImp"
"Clostridium",4269.37873965932
"Luteimonas",1921.30620847799
"Chryseobacterium",611.311392587214
"Aeromonas",578.894392527582
"Parvimonas",477.625334469336
"Bacteroides",429.474215858266
"Atopobium",277.845288055531
"Agrobacterium",247.508047754381
"Lactobacillus",231.221910352122
"Geobacillus",170.409363612631
"Scardovia",142.523827349806
"Brevibacterium",132.333188766071
"Capnocytophaga",103.981191448268
"Brachybacterium",90.8780647532151
"Veillonella",84.7736627217597
"Fusobacterium",67.0439406839515
"Gordonia",65.1088747768377
"Enterobacter",52.0197645594268
"Rothia",48.920967365915
"Proteus",46.6279554519664
"Paenibacillus",44.066095579264
"Alcanivorax",43.2523395051817
"Streptococcus",42.9748392891491
"Kocuria",42.6959012789439
"Alkalibacterium",42.5750656079359
"Skermanella",41.9776597676638
"Marmoricola",41.9415435571973
"Stenotrophomonas",41.9036478014033
"Lysinibacillus",39.6645808520916
"Prevotella",39.2468675160429
"Acidovorax",37.1562009936156
"Roseomonas",35.7435424404822
"Dietzia",32.6079825990934
"Azospirillum",31.824407028029
"Comamonas",31.6832524615348
"Actinomyces",31.5280250472854
"Neisseria",30.3593630443298
"Methylobacterium",24.640839544228
"Porphyromonas",24.1845544855114
"Deinococcus",23.8336049092166
"Collinsella",22.7369586187678
"Acinetobacter",21.605350109376
"Devosia",20.7393246580495
"Streptomyces",20.2228416591254
"Nocardioides",19.1411377101594
"Rickettsia",18.7823390374585
"Serratia",18.3466018491311
"Brevundimonas",17.7090000895257
"Sphingobium",16.8605332081232
"Haemophilus",15.37818191358
"Bulleidia",14.5447690675443
"Leptotrichia",13.9327983032955
"Anoxybacillus",13.6623981721977
"Rhizobium",13.6139807064591
"Flavonifractor",13.0858496874552
"Bacillus",12.9776838577445
"Janthinobacterium",12.5817190605765
"Campylobacter",10.6455990821804
"Tannerella",10.5661384309258
"Blastococcus",10.175247504107
"Alcaligenes",9.50506918595557
"Blautia",9.12445005080633
"Paracoccus",9.10064559972976
"Faecalibacterium",9.09570386616121
"Shewanella",8.94306364484515
"Aerococcus",8.90419350987403
"Hydrogenophaga",8.18641662122747
"Citrobacter",7.52837845022478
"Curtobacterium",7.34848223679964
"Myroides",7.13778606805391
"Eikenella",7.00953115123932
"Sutterella",6.61589805031011
"Jeotgalicoccus",6.16699190176189
"Mobiluncus",6.0889070815283
"Corynebacterium",5.91369516170075
"Klebsiella",5.78670276687891
"Sphaerobacter",5.32996874839666
"Staphylococcus",4.84656982791074
"Flavobacterium",4.71221423250075
"Morganella",4.24835734367075
"Leuconostoc",4.02881564301137
"Acetivibrio",3.80123107425742
"Alistipes",3.76057445839402
"Alishewanella",3.69394049536058
"Ornithinimicrobium",3.59271901150235
"Arthrobacter",3.567473671605
"Conchiformibius",3.56224308053995
"Tepidimonas",3.54061339878337
"Cellulomonas",3.46178905725434
"Bifidobacterium",3.11796474202852
"Desulfovibrio",3.09085505662669
"Pseudomonas",2.88048060076565
"Rubellimicrobium",2.74775800171454
"Parabacteroides",2.51813777585275
"Pseudoalteromonas",2.16628522163337
