"Taxa","varImp"
"Roseomonas",6782.60064772084
"Shigella",1557.25225393719
"Tannerella",977.57707643022
"Sphingobium",802.973764980693
"Brachybacterium",578.480774553439
"Blautia",499.525800719895
"Devosia",497.344725724807
"Citrobacter",370.078114288821
"Chryseobacterium",247.184080253088
"Deinococcus",150.807813672917
"Brevibacterium",141.067186236174
"Enterobacter",81.5318762555419
"Actinomyces",81.2344427884442
"Gluconacetobacter",75.0467929564331
"Ethanoligenens",72.6031704906222
"Methylobacterium",69.7653864081763
"Acetivibrio",58.8281008199313
"Escherichia",56.3213711303816
"Pseudoxanthomonas",51.179914283389
"Agrobacterium",47.3539357641073
"Alcaligenes",42.4907168953231
"Comamonas",40.9380867208034
"Williamsia",38.5363350999387
"Gardnerella",21.8794743584685
"Bilophila",21.5900367097559
"Peptoniphilus",20.8608978961815
"Collinsella",18.1098361640798
"Janibacter",16.3310326259702
"Achromobacter",14.5109620242587
"Janthinobacterium",12.4864735621054
"Diaphorobacter",10.7392756785564
"Agromyces",10.0163935310525
"Arthrobacter",6.16701002861721
"Anoxybacillus",5.83580263497928
"Peptostreptococcus",5.76921399256933
"Paludibacter",5.08869442269402
"Proteus",4.7365253818979
"Capnocytophaga",4.68899362963569
"Acidovorax",4.26887364844742
"Nocardioides",3.55313804402179
"Kingella",3.32877820110621
"Hymenobacter",3.25014587305163
"Mobiluncus",3.07519646754118
"Luteimonas",2.85929974104522
"Pseudonocardia",2.00824087894396
"Eubacterium",1.90425585290303
"Porphyromonas",1.59932960409578
"Lysobacter",1.25822308649779
"Selenomonas",1.14495567914399
"Rubellimicrobium",1.10480662214957
"Pseudoalteromonas",1.01307248698173
"Fusobacterium",0.983817457021345
"Curtobacterium",0.979202786238138
"Hydrogenophaga",0.959270115675549
"Lactobacillus",0.937201518261332
"Prevotella",0.904026776297849
"Rothia",0.882395442601829
"Azospirillum",0.864081173893265
"Campylobacter",0.752015894184662
"Gemella",0.721922661361177
"Desulfovibrio",0.712714889770104
"Lactococcus",0.689872170911527
"Rhodococcus",0.634800002985652
"Serratia",0.623305525872332
"Pantoea",0.602552918840506
"Morganella",0.600284742058435
"Streptococcus",0.580745940015986
"Jeotgalicoccus",0.504067548657669
"Nesterenkonia",0.476402301583153
"Actinobacillus",0.460613885075444
"Stenotrophomonas",0.448256885459629
"Myroides",0.435200062287295
"Bacteroides",0.434252383277339
"Solibacillus",0.406509964646288
"Atopobium",0.401859973978049
"Acinetobacter",0.368638099161681
"Alcanivorax",0.359480425575926
"Butyricimonas",0.353488373591654
"Aeromonas",0.343796936143397
"Aggregatibacter",0.314875725043611
"Eikenella",0.310906891686615
"Corynebacterium",0.285386778125493
"Novosphingobium",0.246345971874894
"Butyricicoccus",0.240208958017894
"Paracoccus",0.220605787837823
"Treponema",0.208740646646313
"Anaerovorax",0.191740413132809
"Belnapia",0.157912828413343
"Kocuria",0.155800544959701
"Oscillibacter",0.153232469449244
"Rheinheimera",0.131905153674381
"Roseburia",0.128255861293008
"Lautropia",0.124109874870577
"Gordonia",0.119861895491801
"Faecalibacterium",0.105916649182517
"Noviherbaspirillum",0.105586047585939
"Conchiformibius",0.0797624150508845
