"Taxa","varImp"
"Selenomonas",1122.27603945156
"Eubacterium",267.826596955543
"Comamonas",224.963255765884
"Atopobium",99.325123176139
"Mycobacterium",69.5850972330803
"Faecalibacterium",60.9015641370713
"Staphylococcus",59.6501645826905
"Sutterella",35.3024366688158
"Achromobacter",32.0489196681101
"Kocuria",31.8383484776965
"Hymenobacter",29.6544393106159
"Mobiluncus",28.9811738905952
"Eggerthella",26.3756270070213
"Serratia",24.8636091771946
"Pseudoalteromonas",24.5804915636851
"Odoribacter",22.4752819472323
"Rothia",21.752966708876
"Azospirillum",18.4281902880806
"Prevotella",18.2382650059408
"Klebsiella",15.0131351331254
"Bifidobacterium",12.4934507385913
"Nocardioides",10.3459925077598
"Treponema",10.1746200977035
"Rhodobacter",9.93770895226031
"Clostridium",9.41888481588116
"Janthinobacterium",7.78067824836183
"Oribacterium",7.51081513806336
"Flavonifractor",5.2750472571307
"Dietzia",5.08253926058527
"Gemella",4.63007929605529
"Porphyromonas",4.53774831376496
"Curtobacterium",3.37427138006484
"Aerococcus",3.04898600670909
"Myroides",2.80225277188312
"Brachybacterium",2.78927418508348
"Barnesiella",2.49034070544646
"Finegoldia",1.46553757826774
"Brevundimonas",1.21124719984733
"Salinicoccus",1.13746898227652
"Rickettsia",1.12784560717797
"Acinetobacter",1.05253273258211
"Scardovia",0.992122504167016
"Anoxybacillus",0.966626936412028
"Tepidimonas",0.966033507656006
"Novosphingobium",0.844045742591933
"Alcaligenes",0.806071122172541
"Actinomyces",0.728885469117124
"Morganella",0.690375096099389
"Skermanella",0.685237751547659
"Rheinheimera",0.631748490242654
"Pseudoxanthomonas",0.62054065663706
"Pseudonocardia",0.565460143335389
"Haemophilus",0.561296986357883
"Luteimonas",0.483404268330981
"Belnapia",0.41191357031005
"Lactobacillus",0.380571364736612
"Megasphaera",0.373258248560655
"Lysobacter",0.368180099793573
"Lachnoanaerobaculum",0.363044118606508
"Collinsella",0.318476653991599
"Lactococcus",0.299668706298106
"Facklamia",0.293634721053729
"Solibacillus",0.263231233228805
"Solobacterium",0.255757638755937
"Sphaerobacter",0.249874934225532
"Desulfovibrio",0.241451323707317
"Brevibacterium",0.237106694809886
"Deinococcus",0.223661504157459
"Lachnobacterium",0.212696186112024
"Actinobacillus",0.199702177102338
"Granulicatella",0.177929511879609
"Alcanivorax",0.173456194382285
"Bacteroides",0.168579772105168
"Planomicrobium",0.157180183077567
"Veillonella",0.150299976516416
"Gordonia",0.140761813086306
"Halomonas",0.129542584507407
"Massilia",0.129405876292184
"Parvimonas",0.123892952545376
"Proteus",0.111174467665592
"Gluconacetobacter",0.106083153681862
"Diaphorobacter",0.104167192439309
"Janibacter",0.103801820185306
"Gardnerella",0.103732495388823
"Marmoricola",0.0945685981075065
"Bacillus",0.0834389349968327
"Nesterenkonia",0.0716524645087975
"Erwinia",0.0547121578842985
"Rhizobium",0.0539136877766207
"Cellulomonas",0.0437658635893552
"Lautropia",0.0427295994285189
"Agromyces",0.0334591267164405
"Ruminococcus",0.0333469090471257
"Acidovorax",0.0314291499189404
"Geobacillus",0.0246250757546799
"Microbispora",0.0217799342076944
"Anaerovorax",0.0196289842695517
