"Taxa","varImp"
"Alkalibacterium",436.587970481114
"Veillonella",197.17405270315
"Bacteroides",188.327123247206
"Clostridium",186.439089314318
"Azospirillum",116.145190592041
"Peptostreptococcus",100.230549681716
"Parabacteroides",94.2312674861345
"Proteus",91.1517011751131
"Kocuria",78.4151447194598
"Neisseria",76.4602265350945
"Shigella",71.90275853838
"Agrobacterium",66.4482246089418
"Myroides",49.2927738873199
"Cellulomonas",46.1427185165089
"Eubacterium",42.4972233501384
"Citrobacter",39.8314344244544
"Hymenobacter",37.7379074914877
"Geobacillus",37.0785666288277
"Blautia",31.5437454486224
"Leuconostoc",31.3268773834151
"Akkermansia",30.9111503716327
"Pseudonocardia",30.5076975383748
"Prevotella",30.4108642464568
"Peptoniphilus",29.2511957617725
"Rhodococcus",28.2939675976695
"Lautropia",27.4355279972788
"Parvimonas",25.4070197816158
"Lysinibacillus",23.2951109846656
"Selenomonas",21.6979389032704
"Flavonifractor",17.8685976280305
"Shewanella",17.1444879812842
"Micrococcus",16.8473739737281
"Rubellimicrobium",14.8051038450908
"Collinsella",14.4405842752834
"Granulicatella",14.2326379209335
"Methylobacterium",13.852900591182
"Desulfovibrio",13.2883412323321
"Ruminococcus",11.9046257500721
"Porphyromonas",10.521199134829
"Comamonas",10.4070308645286
"Coprococcus",10.2784233763382
"Enterobacter",9.49627555726649
"Microbispora",8.59148235210962
"Gemella",7.62760939496706
"Streptomyces",7.35163505478893
"Klebsiella",5.54306680834037
"Chryseobacterium",4.81687747070928
"Arthrobacter",4.49921973703768
"Oscillibacter",4.4136394334665
"Megasphaera",4.36517027926236
"Anaerococcus",3.868002392641
"Pantoea",3.34175388953053
"Acetivibrio",3.19418044537226
"Pseudomonas",3.07305439237148
"Bifidobacterium",3.04835598149565
"Stenotrophomonas",2.96949693273639
"Moraxella",2.83044396990254
"Pseudoalteromonas",2.82333880447195
"Lactococcus",2.77600120336994
"Actinomyces",2.65631772450232
"Capnocytophaga",2.55087288460188
"Fusobacterium",2.51399371819916
"Salinimicrobium",2.42162289978102
"Achromobacter",2.34436491948896
"Acinetobacter",2.26205143785018
"Nesterenkonia",2.07103521543607
"Luteimonas",1.73672203932304
"Halomonas",1.6220783466275
"Campylobacter",1.59709190535715
"Paracoccus",1.4924961720199
"Alistipes",1.46024049492343
"Hydrogenophaga",1.34753915312396
"Scardovia",1.11109996179185
"Streptococcus",1.09653196549331
"Lysobacter",1.0849178560642
"Propionibacterium",1.0392803724533
"Pseudoxanthomonas",0.907771263199552
"Staphylococcus",0.901884147435123
"Exiguobacterium",0.85277922745682
"Janthinobacterium",0.836897597408913
"Serratia",0.832066131039392
"Butyricimonas",0.782534529501266
"Rhizobium",0.762096167274499
"Actinobacillus",0.694330629608169
"Rothia",0.625776283323745
"Mycobacterium",0.559741045025156
"Brevundimonas",0.558986401484404
"Aggregatibacter",0.44198274657431
"Erwinia",0.403266556110349
"Sutterella",0.397599183687833
"Aeromonas",0.286601459234475
"Acidovorax",0.189907044195301
"Eggerthella",0.184111770108698
"Massilia",0.179716995201833
"Agromyces",0.167022544355798
"Leptotrichia",0.156015240118388
"Escherichia",0.114660447580584
