"Taxa","varImp"
"Shewanella",34.3773566160968
"Streptococcus",22.422727206851
"Neisseria",19.7718644592184
"Aggregatibacter",14.6298965560783
"Acidovorax",10.8642248675388
"Leptotrichia",9.85013024024144
"Eubacterium",8.55518746091786
"Pseudoxanthomonas",8.46634632292732
"Arcobacter",8.26195870345054
"Klebsiella",7.69980851533216
"Shigella",7.50094741004195
"Kocuria",6.92024199997845
"Bacillus",6.46310972436429
"Corynebacterium",5.89779772584989
"Selenomonas",5.3920799239635
"Pseudomonas",4.7306032155757
"Devosia",4.50344418352098
"Treponema",4.27541176727913
"Clostridium",4.17777811394429
"Staphylococcus",4.05294124221662
"Alcanivorax",3.6340455136409
"Mycobacterium",3.48046063869752
"Peptoniphilus",3.45931315112841
"Methylobacterium",3.31545831881706
"Skermanella",3.25899166457437
"Azospirillum",2.97080447038266
"Veillonella",2.89809623276436
"Geobacillus",2.6479848409661
"Sutterella",2.59558303766769
"Citrobacter",2.42772478406865
"Lysinibacillus",2.41398647872123
"Massilia",2.38894553711549
"Agrobacterium",2.35408989819978
"Anoxybacillus",2.20162985384103
"Acetivibrio",2.19638765922653
"Porphyromonas",2.13155288602663
"Atopobium",1.89772384967313
"Ruminococcus",1.86510807826497
"Rhodococcus",1.84538409255331
"Blautia",1.82974707465351
"Curtobacterium",1.69042649036944
"Actinobacillus",1.64878131662919
"Alcaligenes",1.60784746391867
"Prevotella",1.60107976400754
"Alkalibacterium",1.48091364600793
"Leuconostoc",1.43059509449292
"Aeromonas",1.35046520009342
"Weissella",1.32504585823961
"Gemella",1.32389102779401
"Moraxella",1.27044213952879
"Enterobacter",1.24465987423864
"Tannerella",1.10273179163381
"Lachnoanaerobaculum",1.01876910179565
"Kingella",0.973426050975956
"Escherichia",0.970773850075548
"Flavobacterium",0.929983508331753
"Haemophilus",0.896463568886993
"Bifidobacterium",0.884613620014223
"Sphingobium",0.882458184528587
"Exiguobacterium",0.821691555364858
"Collinsella",0.800772048551616
"Aerococcus",0.718840102869886
"Pseudoalteromonas",0.717723073362712
"Desulfovibrio",0.636127736931692
"Rickettsia",0.617285521209375
"Eikenella",0.585551721849775
"Nocardioides",0.579066043225316
"Oribacterium",0.576341277836974
"Paracoccus",0.534143992433978
"Peptostreptococcus",0.510202347403615
"Actinomyces",0.434041591794744
"Novosphingobium",0.408998218074372
"Capnocytophaga",0.39555770166215
"Barnesiella",0.393031968367879
"Achromobacter",0.389195708103298
"Tepidimonas",0.38716894274461
"Afifella",0.353720851276864
"Erwinia",0.322483209696764
"Granulicatella",0.268533797299066
"Brevundimonas",0.260512824603279
"Roseburia",0.257945000521994
"Enterococcus",0.253946458605275
"Marmoricola",0.226631511154103
"Lactobacillus",0.218431465574356
"Janthinobacterium",0.216798597588976
"Fusobacterium",0.196553437555283
"Lactococcus",0.192790865495733
"Blastococcus",0.185706188163258
"Micrococcus",0.179853115470293
"Rhizobium",0.173268872496658
"Luteimonas",0.1394257695451
"Acinetobacter",0.136736978543932
"Alloscardovia",0.136136910482209
"Anaerococcus",0.135431929007008
"Morganella",0.12156673390628
"Arthrobacter",0.107538939061033
"Gordonia",0.103095260845631
"Lysobacter",0.0958964812039683
"Myroides",0.0844506455823238
"Campylobacter",0.0754330850978276
"Alistipes",0.0540918717661402
"Conchiformibius",0.0361547841903287
"Mogibacterium",0.0358505731893337
"Proteus",0.0331693911877564
"Scardovia",0.0307233673595928
"Rothia",0.0235398104210266
"Mobiluncus",0.0217097736321937
"Paenibacillus",0.0181821348674315
"Anaerovorax",0.0160472310903414
