"Taxa","varImp"
"Exiguobacterium",566.475821155439
"Actinobacillus",284.763530535689
"Aggregatibacter",186.262979467351
"Parabacteroides",177.844791141394
"Curtobacterium",155.313310336263
"Achromobacter",92.3766628229188
"Gordonia",92.3026606273455
"Hydrogenophaga",65.7265914235192
"Rhodococcus",49.5549144173422
"Akkermansia",43.3451000643334
"Gemella",37.8554345316485
"Alistipes",34.2410697129757
"Tannerella",32.4878787275291
"Mobiluncus",32.2451535133
"Lysobacter",29.1129503557124
"Kocuria",22.5393090118701
"Lysinibacillus",18.1055288017044
"Acetivibrio",18.0247115411268
"Megasphaera",17.5308241339254
"Alcaligenes",14.4392887394052
"Aerococcus",14.1179242610195
"Moraxella",13.22144480834
"Dietzia",12.8139284494542
"Citrobacter",12.2753411124069
"Proteus",11.5052027903834
"Agrobacterium",10.5884391001945
"Veillonella",9.63147703248547
"Morganella",9.35035366492921
"Lactococcus",9.21115977229313
"Mycobacterium",8.19217766764424
"Devosia",7.17148020894156
"Alloscardovia",7.14221003662475
"Streptococcus",6.7172890215036
"Blautia",6.08816440004911
"Rothia",6.02677653207823
"Micrococcus",5.90186984395475
"Chryseobacterium",5.36566845588794
"Barnesiella",5.173629865575
"Bifidobacterium",4.96464315351887
"Azospirillum",4.82825256082976
"Scardovia",4.82651545785144
"Pantoea",4.29800490050287
"Brevundimonas",4.02051009703082
"Comamonas",3.97436726184903
"Janthinobacterium",3.59011252770097
"Alcanivorax",3.35547224881138
"Clostridium",3.2923481012896
"Porphyromonas",3.2657929051352
"Planomicrobium",3.26268673927997
"Paenibacillus",3.08964885245814
"Fusobacterium",2.9444567840419
"Paracoccus",2.92336838518836
"Brevibacterium",2.89833686483482
"Alkanindiges",2.88263351260714
"Brachybacterium",2.80634762781277
"Rhodobacter",2.53113756689647
"Tepidimonas",2.52210900655323
"Eggerthella",2.45808627420866
"Serratia",2.38228618785878
"Massilia",2.18731847847818
"Staphylococcus",2.06496164407813
"Cellulomonas",2.007544354985
"Eubacterium",1.98799798832415
"Bilophila",1.80534962365622
"Odoribacter",1.69683963463349
"Parvimonas",1.60390038351687
"Anoxybacillus",1.55931604761341
"Haemophilus",1.31838791390987
"Acidovorax",1.29892319517134
"Shewanella",1.26129083877475
"Skermanella",1.24698419525302
"Shigella",1.1933268080495
"Enterococcus",1.11222374211871
"Pseudoxanthomonas",1.09177941887077
"Dorea",0.998194343594256
"Flavonifractor",0.979945926423872
"Myroides",0.884511969268776
"Roseomonas",0.880383672071227
"Rubellimicrobium",0.869660260122411
"Desulfovibrio",0.861681598217989
"Conchiformibius",0.793434615973441
"Jeotgalicoccus",0.720165607328262
"Pseudoalteromonas",0.710319396296586
"Luteimonas",0.708987258193144
"Peptostreptococcus",0.665458113688762
"Ruminococcus",0.663925979494736
"Selenomonas",0.595192700330386
"Deinococcus",0.594130218028624
"Ornithinimicrobium",0.593251112089039
"Rheinheimera",0.551371215529147
"Collinsella",0.546783207510248
"Capnocytophaga",0.458250947568601
"Novosphingobium",0.425847865595621
"Hymenobacter",0.421475445619954
"Microbispora",0.419466339709965
"Butyricimonas",0.417882944269565
"Solibacillus",0.393259951800504
"Weissella",0.359744131540258
"Neisseria",0.317930752830081
"Agromyces",0.304316696871104
"Marmoricola",0.293542442009254
"Blastococcus",0.225897173682758
"Roseburia",0.163588460286824
"Peptoniphilus",0.10722270349193
