"Taxa","varImp"
"Parabacteroides",15.6370027998465
"Stenotrophomonas",14.1503367336876
"Brevundimonas",6.62000899045005
"Halomonas",4.8112367300491
"Eggerthella",3.11910678219391
"Acetivibrio",3.06821081999935
"Bifidobacterium",2.95619188536222
"Anaerococcus",2.5837176713057
"Sphingobium",2.46739379714773
"Rothia",2.10275320476922
"Agrobacterium",2.08274609064149
"Novosphingobium",2.04373679300543
"Tannerella",1.98910235698276
"Butyricimonas",1.88517473956387
"Odoribacter",1.81666792677451
"Lactobacillus",1.67468130723325
"Peptoniphilus",1.6641527704854
"Coprococcus",1.65660538426941
"Acinetobacter",1.63089891102404
"Erwinia",1.61461898701479
"Tepidimonas",1.43504863374663
"Dialister",1.39395594779491
"Shewanella",1.31190443460277
"Luteimonas",1.30098266052706
"Campylobacter",1.2658663054753
"Mobiluncus",1.19876280470095
"Rickettsia",1.05966246817472
"Eubacterium",1.05666548012615
"Curtobacterium",1.01766949180239
"Veillonella",0.942339805274172
"Sutterella",0.940286844052164
"Deinococcus",0.938322412332153
"Planomicrobium",0.934527232344004
"Roseomonas",0.93009230145847
"Rhodobacter",0.848119928739314
"Actinomyces",0.821470642819337
"Ruminococcus",0.812026269242804
"Skermanella",0.743387049138741
"Salinimicrobium",0.734666702278663
"Holdemania",0.664814244770547
"Marmoricola",0.6542855387318
"Actinobacillus",0.6428536981444
"Agromyces",0.62856165088724
"Lachnoanaerobaculum",0.572947720749091
"Modestobacter",0.56405673112492
"Conchiformibius",0.507753018571879
"Alistipes",0.449586979617436
"Brevibacterium",0.414455825172523
"Blautia",0.401316898267132
"Lysinibacillus",0.384502957840533
"Clostridium",0.362975154468212
"Moraxella",0.342091457544847
"Janthinobacterium",0.339447885934577
"Anoxybacillus",0.339348578510468
"Adhaeribacter",0.329648622192938
"Pantoea",0.311049280141703
"Proteus",0.300847189838647
"Blastococcus",0.250343999488477
"Barnesiella",0.240866482963521
"Azospirillum",0.208611799820832
"Alloscardovia",0.195840457128486
"Serratia",0.19046224961421
"Dorea",0.172176535722194
"Rhizobium",0.167666057598918
"Comamonas",0.167261520775458
"Bacillus",0.166118075447803
"Parvimonas",0.137935209935149
"Bilophila",0.119773102106648
"Atopobium",0.101170452873629
"Mycobacterium",0.0869644212370791
"Morganella",0.0754453723855688
"Faecalibacterium",0.0695630077269853
"Leuconostoc",0.0669672350080717
"Devosia",0.0657365507616038
"Pseudoalteromonas",0.0545133335027097
"Cellulomonas",0.0500360885106714
"Alkanindiges",0.0319036061391884
"Collinsella",0.0310027198254214
"Escherichia",0.0301591596424515
"Hymenobacter",0.0266578289945969
"Tessaracoccus",0.0261537577067563
"Oscillibacter",0.0247266980379474
"Neisseria",0.0237336970540782
"Acidovorax",0.0209436112060463
"Alcanivorax",0.0209136617842776
"Flavonifractor",0.0165404083170335
"Desulfovibrio",0.0155134487457586
"Dietzia",0.0128065730620852
"Gardnerella",0.00923888726102536
"Lysobacter",0.00696007450895388
"Enterobacter",0.00596897077890332
"Anaerovorax",0.00516799676652671
"Bacteroides",0.0028714768339531
"Roseburia",0.00235050808148215
"Rubellimicrobium",0.00182455891374862
"Pseudoxanthomonas",0.00178549897318296
"Gemella",0.00126350208813934
