"Taxa","varImp"
"Gordonia",214.409462006211
"Acidovorax",200.056572357465
"Rhodococcus",141.450603721334
"Myroides",140.75187802846
"Citrobacter",117.867236490625
"Desulfovibrio",79.9972056066741
"Actinomyces",73.0704864808242
"Micrococcus",70.0197612116372
"Alistipes",52.7114099871023
"Agrobacterium",44.8857106082243
"Marmoricola",44.1018756810805
"Rothia",39.8988668693821
"Corynebacterium",36.2861529836709
"Solibacillus",33.6701068132375
"Neisseria",32.8327593912721
"Bacteroides",32.3244332264716
"Fusobacterium",29.4932405266259
"Megasphaera",29.2152604966154
"Klebsiella",26.8178781071583
"Lactococcus",24.399522696597
"Shewanella",23.1293320862993
"Bifidobacterium",20.7651615121784
"Geobacillus",20.6297885152073
"Blautia",18.9934581243051
"Kocuria",18.2230759998957
"Porphyromonas",17.2462596835209
"Campylobacter",17.0160220357391
"Pseudomonas",16.9499306339061
"Massilia",15.8399355320975
"Actinobacillus",15.8212177965637
"Nocardioides",15.7938420264419
"Akkermansia",15.5928683244107
"Alkalibacterium",14.8373512318321
"Lysinibacillus",14.3222291832914
"Bacillus",14.2003293743623
"Exiguobacterium",13.6432814265805
"Anaerovorax",13.5123683882119
"Pseudoalteromonas",13.1666492512425
"Lactobacillus",12.9220542404068
"Collinsella",12.4646584390955
"Alcaligenes",11.9433972478589
"Adhaeribacter",11.1930749329255
"Cellulomonas",10.9426516320338
"Weissella",10.9375577425568
"Clostridium",9.67028108736936
"Oribacterium",9.35592146385015
"Flavonifractor",9.25654386876904
"Hydrogenophaga",9.15344593809832
"Odoribacter",8.46888142148442
"Mobiluncus",8.2547441983478
"Propionibacterium",8.098642624326
"Escherichia",7.70328289531284
"Streptomyces",7.55189719523722
"Tepidimonas",7.54915695336044
"Coprococcus",7.44286464930962
"Salinicoccus",7.27545320271759
"Flavobacterium",7.26626179236113
"Arthrobacter",7.16007245434001
"Sutterella",7.11279101744904
"Gardnerella",6.99667853734572
"Butyricimonas",6.59470098943443
"Alcanivorax",6.39784281299855
"Belnapia",6.02963362812397
"Alloscardovia",6.00855841056745
"Luteimonas",5.94283450130918
"Treponema",5.78940533752326
"Brevundimonas",5.51706589075473
"Janthinobacterium",4.94131153473313
"Brachybacterium",4.91301089087553
"Skermanella",4.64697940231879
"Aggregatibacter",4.51929002581201
"Pseudonocardia",4.47972542122157
"Streptococcus",4.23520704429399
"Paracoccus",4.22126558429283
"Agromyces",4.04504491023341
"Stenotrophomonas",3.8337053391843
"Oscillibacter",3.13223988653952
"Lachnobacterium",2.89709408934438
"Methylobacterium",2.61104784217156
"Chryseobacterium",2.59323395953713
"Novosphingobium",2.54584234447082
"Eubacterium",2.46899356499769
"Nesterenkonia",2.40946766635133
"Leuconostoc",2.36022302328807
"Moraxella",2.26500637152471
"Serratia",2.13296729948753
"Mycobacterium",1.89851974439351
"Barnesiella",1.84199738701478
"Azospirillum",1.83879205823959
"Halomonas",1.79121181513488
"Lysobacter",1.78434509562767
"Rickettsia",1.63768275052345
"Conchiformibius",1.55732384221583
"Selenomonas",1.53916785818992
"Acetivibrio",1.41266322875251
"Curtobacterium",1.36555426645517
"Parabacteroides",1.2586553410031
"Hymenobacter",1.25553287856118
"Morganella",1.19605088918732
"Rhizobium",1.12654195154857
"Enterobacter",0.794175541767275
"Veillonella",0.726707787454228
"Granulicatella",0.69615909083358
"Prevotella",0.659577402285308
"Sphingobium",0.56599334446409
"Facklamia",0.519123398185653
