"Taxa","varImp"
"Neisseria",232.963550411029
"Kocuria",203.446374456493
"Flavobacterium",198.097622424366
"Acidovorax",176.175203846938
"Serratia",157.069806490676
"Actinomyces",138.089160317896
"Klebsiella",132.173737128695
"Shewanella",111.972714666887
"Bacillus",76.5021521566361
"Anaerovorax",68.9737487064489
"Desulfovibrio",64.9429389535763
"Myroides",50.5081144111668
"Citrobacter",46.6595523255034
"Fusobacterium",37.4938487984815
"Bifidobacterium",31.5120555321805
"Atopobium",27.943803058269
"Parabacteroides",22.7995540085985
"Streptomyces",22.6183865836355
"Streptococcus",21.1950250136344
"Alkalibacterium",17.0019157390733
"Alistipes",14.8665037249001
"Brachybacterium",14.0721964090033
"Proteus",13.7303090097787
"Agrobacterium",13.5318588477105
"Blautia",12.2891594283084
"Azospirillum",10.8862074248179
"Brevundimonas",10.7790305161053
"Janthinobacterium",10.2506545282858
"Paenibacillus",10.1217397863464
"Geobacillus",9.65951956235872
"Eggerthella",9.41686381442141
"Cellulomonas",9.05171950310987
"Enterobacter",8.33572723543804
"Marmoricola",7.61831375615335
"Staphylococcus",7.47196572751526
"Tannerella",7.14078495641592
"Rhodococcus",7.07873722163075
"Exiguobacterium",6.37516452861855
"Escherichia",6.30447282123984
"Acinetobacter",5.92338007388819
"Rickettsia",4.97823316790843
"Leuconostoc",4.82953308131543
"Micrococcus",4.75126351140698
"Brevibacterium",4.41284515555267
"Aerococcus",4.29593379198172
"Acetivibrio",4.28217872517913
"Paracoccus",4.27895664366601
"Pseudomonas",4.24226372139908
"Butyricimonas",4.2129583937443
"Alloscardovia",4.0435321218569
"Devosia",3.89375811553416
"Lactococcus",3.4718118072636
"Campylobacter",3.40673026051643
"Finegoldia",3.27389767336536
"Pantoea",3.21319860111595
"Sphingobium",3.18477178728968
"Haemophilus",2.58781622064439
"Bacteroides",2.55382185188841
"Conchiformibius",2.2694022273546
"Catonella",2.25425212417163
"Mycobacterium",2.21297595554828
"Flavonifractor",2.08552835668076
"Salinicoccus",2.02731184757246
"Pseudoalteromonas",1.97410066287881
"Achromobacter",1.73832314045817
"Methylobacterium",1.73417710618621
"Collinsella",1.62020593282797
"Dialister",1.5842657589774
"Kingella",1.463591109202
"Adhaeribacter",1.41306018722669
"Gluconacetobacter",1.29913504466878
"Tepidimonas",1.28014177608834
"Veillonella",1.26235012539642
"Alcanivorax",1.23731771743194
"Arthrobacter",1.19534881155624
"Lachnoanaerobaculum",1.15122294538659
"Sutterella",1.11011686650426
"Ruminococcus",1.09872807190996
"Enterococcus",1.07149142489507
"Barnesiella",1.05252118648028
"Skermanella",0.959379117212484
"Oribacterium",0.948367962708618
"Gemella",0.919572414072715
"Roseomonas",0.895161026092348
"Williamsia",0.858203701197972
"Curtobacterium",0.820765915333753
"Bilophila",0.792397938403283
"Lysobacter",0.789882218617236
"Massilia",0.778648392819091
"Pseudoxanthomonas",0.768721625758056
"Anaerococcus",0.715387204680525
"Selenomonas",0.597980147817246
"Corynebacterium",0.564241580983154
"Stenotrophomonas",0.543297495789177
"Solibacillus",0.504731596907176
"Propionibacterium",0.470630002609436
"Akkermansia",0.442379189690992
"Hydrogenophaga",0.436990935510364
"Granulicatella",0.352668630801678
"Rhodobacter",0.343303935032978
"Rubellimicrobium",0.236992482669791
