"Taxa","varImp"
"Achromobacter",543.576615396289
"Mobiluncus",519.254934216027
"Exiguobacterium",288.062046995511
"Micrococcus",130.983810962471
"Curtobacterium",90.8781654532586
"Aggregatibacter",89.2909741985028
"Actinobacillus",76.7565492862083
"Morganella",67.5421603877493
"Comamonas",46.7142371393408
"Megasphaera",36.4486536059543
"Enterobacter",25.2453209705941
"Blautia",22.1738246107031
"Arthrobacter",20.9919422105639
"Acetivibrio",18.2243803735424
"Desulfovibrio",17.7210554094631
"Proteus",14.7513318194297
"Alistipes",14.3755554258105
"Leuconostoc",13.8038533402886
"Shigella",13.3881768498138
"Gordonia",13.0040556055438
"Atopobium",12.5236720081174
"Alkalibacterium",12.013362495938
"Lactococcus",11.4438934018251
"Weissella",10.3237560433289
"Clostridium",9.80959346439652
"Akkermansia",8.83416970923222
"Azospirillum",7.84144337705044
"Aerococcus",7.72757793249342
"Scardovia",7.62956754291815
"Haemophilus",6.66407815032274
"Rhodococcus",6.38410974727317
"Devosia",6.22149391638182
"Pseudoalteromonas",6.08414771670338
"Alcanivorax",5.1562939734993
"Blastococcus",4.87772506979849
"Planomicrobium",4.41643767187806
"Streptococcus",4.26303079657243
"Rhodobacter",4.18203321352637
"Lactobacillus",4.1614687923047
"Bifidobacterium",3.73944757901828
"Paracoccus",3.69102029471703
"Chryseobacterium",3.52395667394686
"Noviherbaspirillum",3.46904442174816
"Conchiformibius",3.37527225642343
"Novosphingobium",3.31067361332313
"Faecalibacterium",2.99803644091057
"Treponema",2.85713693756643
"Rickettsia",2.78265255899237
"Capnocytophaga",2.57798857629784
"Pseudoxanthomonas",2.56405596055244
"Sutterella",2.54219876354261
"Microbispora",2.48577596383322
"Mycobacterium",2.48342027792165
"Alloscardovia",2.46103921454779
"Citrobacter",2.43819997167427
"Moraxella",2.00985146031965
"Pseudonocardia",1.97029061546946
"Paenibacillus",1.91223146437022
"Acinetobacter",1.88473806767771
"Geobacillus",1.52051115472858
"Hydrogenophaga",1.29705530865866
"Cardiobacterium",1.29577905871182
"Gardnerella",1.28798747489495
"Lysobacter",1.24549426216021
"Actinomyces",1.23568937678104
"Cellulomonas",1.17510051105281
"Pantoea",1.17350114167491
"Campylobacter",1.09331682428528
"Skermanella",1.06433138667281
"Alcaligenes",1.0513661118385
"Facklamia",1.04494689869235
"Bilophila",1.02353423953881
"Enterococcus",0.992566083274345
"Anoxybacillus",0.96405958111126
"Veillonella",0.877608793704045
"Eubacterium",0.861677463431477
"Staphylococcus",0.857425323841928
"Lachnoanaerobaculum",0.796278790163002
"Parabacteroides",0.782696982799997
"Collinsella",0.732144280596719
"Flavonifractor",0.688929797395379
"Holdemania",0.651302485876124
"Corynebacterium",0.615814895412304
"Brachybacterium",0.607103028006401
"Arcobacter",0.58669706552418
"Anaerovorax",0.563949101101395
"Shewanella",0.537141885428753
"Rothia",0.4151871986209
"Propionibacterium",0.413831615071168
"Thermomonas",0.361255055773626
"Stenotrophomonas",0.350242880212381
"Lachnobacterium",0.332573135225494
"Kocuria",0.327150930767231
"Ruminococcus",0.28403362918385
"Agrobacterium",0.28155454130247
"Catonella",0.208096243647354
"Anaerostipes",0.188962856113681
"Roseomonas",0.148100123572431
"Janibacter",0.124923371000169
