"Taxa","varImp"
"Pantoea",555.768840496518
"Methylobacterium",286.187213288085
"Oscillibacter",124.025837599405
"Solobacterium",114.720695203276
"Hydrogenophaga",108.29904474215
"Corynebacterium",101.704970913396
"Turicibacter",97.837101452571
"Pseudoxanthomonas",60.8506378826247
"Staphylococcus",57.2596419682314
"Lysinibacillus",53.9347927582148
"Parvimonas",52.8696553993856
"Flavobacterium",50.2912235688022
"Jeotgalicoccus",49.2832036714306
"Lysobacter",45.3393873027756
"Gardnerella",43.8477529261806
"Kocuria",30.6273540794543
"Faecalibacterium",30.4038926069752
"Brevibacterium",29.0255690620296
"Luteimonas",27.4228653585796
"Dorea",21.894741018565
"Geobacillus",21.1753727458607
"Micrococcus",20.9720872739484
"Achromobacter",20.2720074214471
"Porphyromonas",19.8862672837468
"Streptomyces",19.6478887692969
"Exiguobacterium",19.5751698082876
"Cellulomonas",17.1767044061907
"Agrobacterium",17.087679707808
"Pseudoalteromonas",16.4629790832616
"Alcanivorax",16.3272201562713
"Rickettsia",15.4488630049408
"Bifidobacterium",15.3833396591911
"Marmoricola",14.9622373048925
"Pseudomonas",14.0712077142636
"Arcobacter",14.0632610690529
"Clostridium",13.8205070717211
"Conchiformibius",13.5561774221889
"Blautia",13.1128517460836
"Coprococcus",12.958926439677
"Flavonifractor",11.7747023928521
"Alkalibacterium",11.74158492574
"Prevotella",11.4997420048002
"Streptococcus",11.2249875204607
"Butyricicoccus",11.2041502396312
"Peptostreptococcus",9.44028942919582
"Selenomonas",9.34701365017232
"Citrobacter",9.28065035596917
"Aeromonas",8.95833255983021
"Desulfovibrio",8.80576534580993
"Leptotrichia",8.63745763452742
"Devosia",7.9523930000998
"Massilia",7.87851686211287
"Enterobacter",7.10616883557183
"Bulleidia",7.00874010965574
"Williamsia",7.00122573726114
"Comamonas",6.43412345943094
"Rhodococcus",6.08156720173258
"Anaerovorax",5.62827917099644
"Shewanella",5.11479527710309
"Lactobacillus",4.45614818402207
"Granulicatella",4.41529648139046
"Lachnobacterium",4.35364582325733
"Hymenobacter",4.20715421614251
"Acinetobacter",4.12942260897247
"Acidovorax",4.04745277646676
"Mogibacterium",3.9225710560441
"Kingella",3.64763146425382
"Curtobacterium",3.53619090059836
"Collinsella",3.34603032227001
"Enterococcus",2.91338490073024
"Anoxybacillus",2.84506819982523
"Rhodobacter",2.7248478622901
"Alishewanella",2.70268082591001
"Tannerella",2.66006304404141
"Gordonia",2.04340824077125
"Halomonas",1.89401495998021
"Brachybacterium",1.82486362397427
"Tepidimonas",1.74666230324653
"Propionibacterium",1.64741102646102
"Mycobacterium",1.64311588920666
"Gluconacetobacter",1.5496780464504
"Roseburia",1.47534113366009
"Paracoccus",1.42065961635919
"Microbispora",1.32695743183697
"Lactococcus",1.30924355330251
"Chryseobacterium",1.30890139807991
"Alloscardovia",1.23283606179421
"Novosphingobium",1.22808339637036
"Salinimicrobium",1.02104247024207
"Leuconostoc",0.932210580241683
"Cardiobacterium",0.924952517300524
"Lachnoanaerobaculum",0.896995664077767
"Mobiluncus",0.89211507984134
"Ruminococcus",0.887918821711035
"Ethanoligenens",0.886489536566076
"Azospirillum",0.785347205673886
"Rhizobium",0.77386521693449
"Agromyces",0.768700615225098
"Solibacillus",0.696598559140095
"Acetivibrio",0.677142274870168
"Pseudonocardia",0.644049983983462
"Lautropia",0.640540881266158
"Campylobacter",0.633288643035684
"Klebsiella",0.60946856777814
"Sphingobium",0.599634842300444
"Eubacterium",0.593329827247568
"Thermomonas",0.4995964274336
"Alloiococcus",0.416495373913175
"Proteus",0.39883326656423
"Blastococcus",0.389302420510593
"Anaerococcus",0.385726236206361
"Veillonella",0.35600038714787
"Capnocytophaga",0.3382677144641
"Janthinobacterium",0.32302749709226
"Bacillus",0.282907000235047
