"Taxa","varImp"
"Micrococcus",17.8851720848152
"Butyricicoccus",13.7586073581635
"Prevotella",11.3293085841132
"Erwinia",9.91224144364809
"Peptoniphilus",9.50682542934272
"Eggerthella",9.47966209300349
"Pseudonocardia",7.10473857902081
"Adhaeribacter",6.23590758062038
"Barnesiella",5.88043517442097
"Aggregatibacter",5.48707255493877
"Campylobacter",5.37484907941913
"Veillonella",5.0642748219684
"Myroides",4.81215400675268
"Fusobacterium",4.74278198561629
"Odoribacter",4.39117045359485
"Gemella",4.13765415414384
"Acidovorax",4.10822814480284
"Lachnoanaerobaculum",3.79245872754622
"Alcanivorax",3.76885086880611
"Anaerostipes",3.7020993959776
"Rhodococcus",3.66543216451756
"Nesterenkonia",3.60041150759327
"Janibacter",3.5861667380837
"Pseudomonas",3.3648892052187
"Blastococcus",3.10192801242763
"Sphaerobacter",2.97769375313935
"Skermanella",2.9295081416417
"Noviherbaspirillum",2.91346615629741
"Shewanella",2.87269889069175
"Deinococcus",2.8499463115195
"Solobacterium",2.76092264301102
"Morganella",2.71848930161504
"Dialister",2.64930462828553
"Agromyces",2.4912555876276
"Alloscardovia",2.39956099565352
"Azospirillum",2.17139650979431
"Comamonas",2.16219911315257
"Holdemania",2.03450511509358
"Tepidimonas",2.00958342442492
"Actinomyces",1.97812606180971
"Paracoccus",1.94371215109468
"Klebsiella",1.67328625811468
"Ornithinimicrobium",1.65338820704572
"Gordonia",1.53876332692352
"Pseudoxanthomonas",1.50351674099446
"Modestobacter",1.41340849163572
"Arcobacter",1.30452395607875
"Finegoldia",1.30166033511724
"Hydrogenophaga",1.24076699264078
"Cardiobacterium",1.19647826038547
"Agrobacterium",0.992385763989707
"Halomonas",0.959383337798029
"Anaerovorax",0.952231508299972
"Eikenella",0.915787983839114
"Desulfovibrio",0.842640033127055
"Salinicoccus",0.756884029188134
"Weissella",0.712963442605982
"Atopobium",0.61013331353493
"Acinetobacter",0.602422021468629
"Bacteroides",0.590992301715402
"Corynebacterium",0.588523983494641
"Peptostreptococcus",0.581954047228016
"Kocuria",0.574673868604298
"Flavonifractor",0.550159900395642
"Rhizobium",0.542799816331867
"Rickettsia",0.440401798567549
"Lactobacillus",0.434702521505845
"Sutterella",0.424953344187746
"Alkalibacterium",0.392643813481956
"Brevibacterium",0.391228538235373
"Haemophilus",0.360856551228461
"Conchiformibius",0.340370183248034
"Exiguobacterium",0.322084684579302
"Microbispora",0.311301192678717
"Bifidobacterium",0.300531854299239
"Catonella",0.299627346167293
"Janthinobacterium",0.288149814231334
"Leuconostoc",0.276068584482856
"Oribacterium",0.275052962489469
"Anaerococcus",0.261352768362255
"Afifella",0.245475145864656
"Ethanoligenens",0.235116248786903
"Treponema",0.227882208713027
"Kingella",0.218780560187153
"Moraxella",0.180239562861482
"Flavobacterium",0.179060661350566
"Alcaligenes",0.172693095686053
"Faecalibacterium",0.17017928251339
"Belnapia",0.143402700517766
"Citrobacter",0.142266796477365
"Bacillus",0.122695496603972
"Anoxybacillus",0.112484900507579
"Massilia",0.106420594074159
"Leptotrichia",0.100511901087354
"Oscillibacter",0.0965332563605401
"Salinimicrobium",0.0945280717143145
"Dietzia",0.09227188272068
"Gluconacetobacter",0.0810992334808503
"Lysobacter",0.0729584257879613
"Escherichia",0.0689086591172774
"Clostridium",0.0601903677913828
"Hymenobacter",0.0591127326251555
"Tessaracoccus",0.0590430185704063
"Parabacteroides",0.0568001335401307
"Alloiococcus",0.055965956243108
"Collinsella",0.0511272411002444
"Butyricimonas",0.0505931093599034
"Stenotrophomonas",0.0447164017394517
"Cellulomonas",0.0413266501782681
"Lachnobacterium",0.0386037026940555
"Megasphaera",0.037038871806748
"Bilophila",0.0362570679537388
"Tannerella",0.0334733524564465
"Rubellimicrobium",0.0321967822378713
"Curtobacterium",0.0305818168088556
"Aeromonas",0.027907314172175
"Roseomonas",0.0271606782714145
"Arthrobacter",0.0215015497527411
"Rhodobacter",0.0181144365587893
"Capnocytophaga",0.0178871979780384
"Marmoricola",0.0177478216694164
"Brachybacterium",0.0171116787407229
"Selenomonas",0.0167982153303132
"Blautia",0.0130353201693487
"Aerococcus",0.0121468799330481
"Rheinheimera",0.0116581533746414
"Nocardioides",0.0106345830070284
"Propionimicrobium",0.00859367750268188
"Diaphorobacter",0.00725126527611384
"Methylobacterium",0.00669824840122165
"Pantoea",0.00602244260259021
"Akkermansia",0.00589900867704671
"Alistipes",0.00532655062689764
"Brevundimonas",0.00410675439811084
"Mogibacterium",0.00366221008311157
"Lysinibacillus",0.00251679023395588
"Coprococcus",0.00230409408866545
