"","auroc","aupr","aucEstimate","aucSE95","lowerCI95","upperCI95","aucSE99","lowerCI99","upperCI99","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName"
"1",0.981323132313231,0.978248334841826,0.985479797979798,0.0069595650820493,0.971839301070919,0.999120294888677,0.0069595650820493,0.9675531463015,1,"Breast Invasive Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy_HiSeq_WashU","metadataSamplesAllQC_HiSeq_WashU",88,101,"Breast Invasive Carcinoma","OtherCancerType"
"2",0.979585798816568,0.903183858639995,0.970036764705882,0.0154796142942516,0.939697278194578,1,0.0154796142942516,0.930163920599114,1,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy_HiSeq_WashU","metadataSamplesAllQC_HiSeq_WashU",20,169,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType"
"3",0.971833721833722,0.89509629653523,0.985833333333333,0.0133358027770104,0.959695640185464,1,0.0133358027770104,0.951482581753961,1,"Sarcoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy_HiSeq_WashU","metadataSamplesAllQC_HiSeq_WashU",33,156,"Sarcoma","OtherCancerType"
"4",0.898492907801418,0.777655700990938,0.905047619047619,0.027046521369936,0.852037411255452,0.958057826839787,0.027046521369936,0.835380396743876,0.974714841351362,"Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy_HiSeq_WashU","metadataSamplesAllQC_HiSeq_WashU",48,141,"Uterine Corpus Endometrial Carcinoma","OtherCancerType"
"5",0.977390956382553,0.900714484981441,0.975,0.0135758056894805,0.948391909787504,1,0.0135758056894805,0.94003104188575,1,"Head and Neck Squamous Cell Carcinoma","Primary Tumor","snmDataSampleTypeWithExpStrategy_HiSeq_MDA","metadataSamplesAllQC_HiSeq_MDA",21,238,"Head and Neck Squamous Cell Carcinoma","OtherCancerType"
"6",0.966824644549763,0.884640289224174,0.985930735930736,0.0106151817224378,0.96512536206541,1,0.0106151817224378,0.958587839787584,1,"Thyroid Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy_HiSeq_MDA","metadataSamplesAllQC_HiSeq_MDA",25,211,"Thyroid Carcinoma","OtherCancerType"
"7",0.939572586588062,0.86751386211577,0.934782608695652,0.029561374887637,0.876843378582397,0.992721838808908,0.029561374887637,0.858637553006882,1,"Thyroid Carcinoma","Primary Tumor","snmDataSampleTypeWithExpStrategy_HiSeq_MDA","metadataSamplesAllQC_HiSeq_MDA",23,236,"Thyroid Carcinoma","OtherCancerType"
"8",0.997831825037707,0.991646995773611,0.998095238095238,0.00213324135212606,0.99391416187474,1,0.00213324135212606,0.99260037250889,1,"Uveal Melanoma","Primary Tumor","snmDataSampleTypeWithExpStrategy_HiSeq_MDA","metadataSamplesAllQC_HiSeq_MDA",51,208,"Uveal Melanoma","OtherCancerType"
"9",0.999667784120081,0.993249005891122,1,0,1,1,0,1,1,"Rectum Adenocarcinoma","Primary Tumor","snmDataSampleTypeWithExpStrategy_HiSeq_HMS","metadataSamplesAllQC_HiSeq_HMS",39,849,"Rectum Adenocarcinoma","OtherCancerType"
"10",0.9592631826742,0.825005860295697,0.957070707070707,0.00828977207574031,0.94082305236221,0.973318361779204,0.00828977207574031,0.935717669238274,0.97842374490314,"Skin Cutaneous Melanoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy_HiSeq_HMS","metadataSamplesAllQC_HiSeq_HMS",118,720,"Skin Cutaneous Melanoma","OtherCancerType"
