"Taxa","varImp"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Alysiella",16.8650845663431
"k__Bacteria.p__Cyanobacteria.o__Oscillatoriales.g__Planktothrix",13.3983625617957
"k__Viruses.o__Picornavirales.f__Picornaviridae.g__Hepatovirus",12.7791619299533
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Oceanobacter",12.0974282118233
"k__Viruses.f__Circoviridae.g__Circovirus",11.5979884312599
"k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Varicellovirus",9.59555581218873
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Pusillimonas",9.09855971958797
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Thiorhodococcus",8.28441940791478
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus",7.65216259094037
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Oceanicaulis",7.38735585619765
"k__Bacteria.p__Cyanobacteria.o__Oscillatoriales.g__Moorea",7.33784212496806
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Erwinia",6.97020601420642
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia",6.67720058475232
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Alcaligenes",6.53473420643927
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.f__Competibacteraceae.g__Candidatus_Competibacter",6.20290154994039
"k__Viruses.f__Phycodnaviridae.g__Coccolithovirus",6.02399289058997
"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Bergeyella",5.98895004507122
