"Taxa","varImp"
"Klebsiella",553.24170577707
"Paenibacillus",126.878254138576
"Eubacterium",46.2874914604596
"Collinsella",42.0233210171423
"Luteimonas",37.0143353539976
"Arthrobacter",33.4408914242129
"Acidovorax",32.0412285994552
"Agrobacterium",31.888940087017
"Rhizobium",31.5411380534108
"Azospirillum",29.0159811874585
"Escherichia",28.0296746931234
"Blautia",14.2406084921328
"Pseudomonas",12.172398287608
"Gordonia",11.508383802589
"Treponema",10.7425641195006
"Lysinibacillus",9.44402347853479
"Flavonifractor",8.75326381322671
"Enterobacter",7.30971924191677
"Alcaligenes",7.30725583667061
"Bulleidia",6.80187394274969
"Dietzia",6.66075112504536
"Myroides",5.11261874080223
"Aeromonas",4.62335900176142
"Proteus",4.5382591408172
"Staphylococcus",4.3005565130765
"Streptococcus",3.10462212193166
"Atopobium",2.59875710504271
"Porphyromonas",2.16753120548785
"Brevundimonas",2.12153273214881
"Lachnoanaerobaculum",2.11581721588309
"Alkalibacterium",2.02196124712161
"Pseudoalteromonas",1.9192344794607
"Actinobacillus",1.83774067339077
"Neisseria",1.77216859902701
"Leptotrichia",1.61638755686811
"Roseomonas",1.40109787876494
"Bacteroides",1.39526663018891
"Bifidobacterium",1.32804277962231
"Actinomyces",1.28265089069096
"Paludibacter",1.26544705896747
"Sutterella",1.17673913684211
"Propionibacterium",0.989994325849485
"Erwinia",0.989918635524581
"Shigella",0.978110573616232
"Kocuria",0.963470019439036
"Adhaeribacter",0.925885516617744
"Novosphingobium",0.90003724410099
"Sphaerobacter",0.8940347878224
"Tepidimonas",0.79738886386039
"Prevotella",0.791695200427207
"Alcanivorax",0.706513745050254
"Peptostreptococcus",0.662012870789951
"Weissella",0.623840788796666
"Exiguobacterium",0.608994822948063
"Mobiluncus",0.533511595179924
"Bacillus",0.533388583993818
"Acinetobacter",0.516868886085219
"Rhodococcus",0.503476727056422
"Tannerella",0.482889665848271
"Janibacter",0.473823479595278
"Capnocytophaga",0.449906044632621
"Nocardioides",0.425972251274407
"Lactococcus",0.419633292408637
"Rhodobacter",0.418224142498886
"Mycobacterium",0.376208032747718
"Pantoea",0.369481915715068
"Micrococcus",0.325197147908347
"Devosia",0.280297934659232
"Rickettsia",0.268891383966218
"Brachybacterium",0.264544648384502
"Alloscardovia",0.225058851764603
"Holdemania",0.195929341965515
"Bilophila",0.153163453193278
"Shewanella",0.140787758018846
"Geobacillus",0.12507447741445
"Scardovia",0.123241533319181
"Achromobacter",0.120859617583383
"Kingella",0.106909228828828
"Comamonas",0.104016289782979
"Morganella",0.0979190000049284
"Sphingobium",0.0948710734117327
"Peptoniphilus",0.0732454951693133
"Halomonas",0.0713910181753593
"Lautropia",0.0683538590585661
"Anoxybacillus",0.0613215502447489
"Lactobacillus",0.0573017823710395
"Rheinheimera",0.0528478367504616
"Massilia",0.0443787808150833
