"Taxa","varImp"
"Hydrogenophaga",2594.07466589852
"Proteus",2519.07174984383
"Stenotrophomonas",2125.10170489407
"Alcanivorax",764.324470277697
"Enterobacter",404.658348781257
"Paenibacillus",400.321823599283
"Bacteroides",322.628677202672
"Roseomonas",196.344116073227
"Geobacillus",150.605313908825
"Streptococcus",139.474661550703
"Lachnobacterium",124.579882166055
"Conchiformibius",97.0364099850854
"Haemophilus",89.3189062303013
"Propionibacterium",76.3743672209474
"Flavonifractor",63.1104725327813
"Aggregatibacter",62.0054868636099
"Kocuria",61.1081274553852
"Brevundimonas",52.9372432929283
"Paracoccus",39.340300959074
"Citrobacter",37.7202061949965
"Mycobacterium",34.1189801345202
"Gordonia",34.0526102978537
"Moraxella",28.131719018
"Luteimonas",27.9866018215803
"Massilia",26.5874195868194
"Pseudoalteromonas",21.313652143141
"Acidovorax",20.6174815240694
"Actinomyces",17.0649987816573
"Blautia",16.1478076754693
"Campylobacter",15.4875164950704
"Clostridium",13.2764394684715
"Serratia",12.084874446654
"Comamonas",12.0720291133322
"Belnapia",11.3920429086382
"Exiguobacterium",8.95158355049539
"Klebsiella",6.86849230960816
"Bifidobacterium",6.46687854853617
"Aeromonas",6.30150183810664
"Treponema",6.14452932269594
"Alistipes",6.0705785128225
"Achromobacter",5.66126411889231
"Pseudomonas",4.28365178486373
"Nocardioides",4.03958805572915
"Arthrobacter",2.87259258445332
"Lactobacillus",2.64644128842262
"Anaerococcus",2.5814983310331
"Alkalibacterium",1.88206820768872
"Pseudoxanthomonas",1.81676637307875
"Sutterella",1.6897720594079
"Actinobacillus",1.16162115418947
"Brachybacterium",1.13107554699943
"Alishewanella",1.10712791491645
"Bacillus",0.998407433521485
"Desulfovibrio",0.962547402530613
"Enterococcus",0.878192670939912
"Blastococcus",0.808089977465829
"Micrococcus",0.798054133522778
"Veillonella",0.783368334409782
"Lysinibacillus",0.710234616591138
"Flavobacterium",0.661236414962501
"Leptotrichia",0.642842587537843
"Escherichia",0.613995134185303
"Gardnerella",0.613240070461887
"Janibacter",0.521084477806912
"Sphingobium",0.519453430155507
"Eubacterium",0.48270092710757
"Aerococcus",0.462895130955575
"Lactococcus",0.457333778188133
"Lautropia",0.457045660148269
"Alkanindiges",0.412574921490701
"Alcaligenes",0.385588856171444
"Prevotella",0.35053145696913
"Sphaerobacter",0.308994183653968
"Bilophila",0.305695169704076
"Marmoricola",0.304211264914381
"Cellulomonas",0.299488166126302
"Curtobacterium",0.295581347493498
"Agromyces",0.288011954689916
"Rickettsia",0.2529130260784
"Devosia",0.226463074090961
"Fusobacterium",0.223741422095247
"Modestobacter",0.208551149557046
"Morganella",0.204577883783997
"Rothia",0.194981816240239
"Collinsella",0.169189210344725
"Corynebacterium",0.168529778373918
