"Taxa","varImp"
"Capnocytophaga",1259.4683290812
"Aeromonas",870.292207026693
"Scardovia",844.462966964905
"Atopobium",632.506494157353
"Enterobacter",541.623437738524
"Dietzia",473.275047357359
"Roseomonas",468.520550427355
"Aggregatibacter",439.536594343253
"Comamonas",432.416418715653
"Tepidimonas",369.067763323565
"Bilophila",261.463061922597
"Lactobacillus",254.390693356734
"Blautia",239.669142304583
"Flavobacterium",173.713480934325
"Collinsella",157.392423879697
"Gordonia",100.432852018351
"Pantoea",88.5169832438018
"Paludibacter",84.2058567620138
"Veillonella",81.1630821974144
"Pseudomonas",78.0439716181081
"Marmoricola",77.2903528245578
"Rheinheimera",76.2219835082956
"Acidovorax",72.3729154703358
"Stenotrophomonas",65.5023672162262
"Novosphingobium",63.8488725360847
"Staphylococcus",55.5358480117081
"Deinococcus",51.0949380258577
"Anaerococcus",47.5445645243994
"Anoxybacillus",45.8350739866357
"Gardnerella",44.5056555939647
"Campylobacter",42.7706654260613
"Porphyromonas",40.7051176517211
"Conchiformibius",40.5798372741559
"Geobacillus",32.1217233218031
"Clostridium",31.858261157827
"Williamsia",30.8414972288202
"Lysinibacillus",29.4548717285173
"Blastococcus",26.9125364733752
"Alcanivorax",26.7394604326153
"Pseudoalteromonas",26.476406655734
"Myroides",25.1163998161615
"Citrobacter",23.7506557736462
"Rothia",21.299478519396
"Rickettsia",20.6806137571673
"Parvimonas",19.9266843924869
"Weissella",18.3162789783417
"Leptotrichia",17.6248036360295
"Alistipes",15.3998087722134
"Sutterella",15.158797833009
"Alkalibacterium",15.0759725566686
"Chryseobacterium",14.389985554529
"Ornithinimicrobium",13.1210706966898
"Odoribacter",13.1199388938392
"Hymenobacter",12.8463133007247
"Arthrobacter",12.2482280815859
"Paenibacillus",10.4673733203736
"Shigella",10.3440882772953
"Peptoniphilus",9.70288682104231
"Brevundimonas",9.06124651379931
"Alishewanella",9.03282748460627
"Lachnoanaerobaculum",8.5087275526887
"Salinimicrobium",7.93414722041799
"Finegoldia",7.54397857585622
"Haemophilus",7.02381349997724
"Arcobacter",6.90273618514441
"Aerococcus",6.83879664491601
"Bacillus",6.78160701381858
"Agrobacterium",6.21002907354963
"Corynebacterium",6.04492844032003
"Lautropia",6.03439326271374
"Devosia",6.03306990857367
"Rubellimicrobium",5.29476011725812
"Mogibacterium",4.55406202818338
"Alcaligenes",4.40166836301168
"Tannerella",4.20421065954907
"Methylobacterium",3.77766589315292
"Alkanindiges",3.67892137097813
"Klebsiella",3.55212834110627
"Akkermansia",3.55010418890829
"Selenomonas",3.54033019026118
"Roseburia",3.46951897116726
"Streptomyces",3.45828666976732
"Brachybacterium",3.32024005382936
"Shewanella",3.13975136780853
"Sphingobium",2.93908963037944
"Granulicatella",2.80939304672499
"Micrococcus",2.54467198156528
"Luteimonas",2.4838903097854
"Propionibacterium",2.35248803274174
