"Taxa","varImp"
"Veillonella",323.655730778398
"Rhodococcus",103.31638246386
"Actinomyces",70.9669375771484
"Leuconostoc",68.4832794082123
"Agrobacterium",38.6182986691128
"Achromobacter",32.9872315855223
"Micrococcus",17.6762891859109
"Klebsiella",16.3202601062012
"Myroides",14.2369733929092
"Desulfovibrio",13.7049799629135
"Eikenella",13.3516842210402
"Gordonia",13.3102761504034
"Sphingobium",12.8396376412686
"Flavonifractor",12.0275764744646
"Solobacterium",11.4400463795422
"Anaerococcus",11.1898298501424
"Pseudomonas",9.95997190253522
"Pantoea",9.94525616125719
"Finegoldia",9.93730191075769
"Clostridium",9.40724674479372
"Methylobacterium",9.26265402803167
"Massilia",9.12432882564603
"Selenomonas",8.97967514983653
"Fusobacterium",8.82046882539603
"Rothia",8.5353557230055
"Brevundimonas",8.44896159388226
"Geobacillus",8.2753806255614
"Rhizobium",7.72363533125511
"Prevotella",7.30339947708573
"Butyricimonas",7.2888399813609
"Citrobacter",7.11532403025743
"Morganella",6.7018734391788
"Faecalibacterium",6.50322995874313
"Acetivibrio",6.30865975109719
"Devosia",6.26689351369642
"Lactococcus",6.17285205791547
"Pseudoalteromonas",5.70143561183788
"Parvimonas",5.54273400465826
"Parabacteroides",5.51928627877261
"Serratia",5.06618339394405
"Kingella",5.00105091985747
"Pseudoxanthomonas",4.94824668904432
"Curtobacterium",4.76649691965692
"Deinococcus",4.71038099850068
"Megasphaera",4.49261317525677
"Peptoniphilus",4.29820819774379
"Campylobacter",4.19873075769046
"Collinsella",4.16132482448679
"Lactobacillus",3.72823302841987
"Actinobacillus",3.50907992873112
"Flavobacterium",3.43568029430394
"Tepidimonas",3.42786393101471
"Dialister",3.08095997639075
"Aggregatibacter",2.85721083737037
"Stenotrophomonas",2.83568711866313
"Alloscardovia",2.7526865008256
"Peptostreptococcus",2.68049432068445
"Capnocytophaga",2.47249107371874
"Alcanivorax",2.47043823053333
"Blautia",2.46409140566735
"Atopobium",2.26325924005886
"Hydrogenophaga",2.14945010475585
"Mogibacterium",2.09193823815509
"Bilophila",1.96590456013653
"Chryseobacterium",1.78718468916025
"Nocardioides",1.63750350044132
"Staphylococcus",1.62254410103785
"Enterococcus",1.5662024946586
"Belnapia",1.49411845778516
"Alishewanella",1.4643719230361
"Salinicoccus",1.43182039418521
"Janthinobacterium",1.42127159161524
"Streptomyces",1.34357451490337
"Propionibacterium",1.28894620939245
"Lachnobacterium",1.26773747962233
"Exiguobacterium",1.2415656608678
"Granulicatella",1.17408427442042
"Anoxybacillus",1.16408999862844
"Acidovorax",1.1454574677206
"Alloiococcus",1.13188873393574
"Lysobacter",1.03520335303129
"Treponema",0.984329550916814
"Eggerthella",0.972406336131606
"Rickettsia",0.956270278962052
"Enterobacter",0.955590720552628
"Shewanella",0.905603112600012
"Paracoccus",0.89656514425779
"Dietzia",0.855227620775126
"Comamonas",0.849280534840813
"Aerococcus",0.816614977701412
"Paenibacillus",0.768357951311806
"Modestobacter",0.733796854310007
"Aeromonas",0.708610133054519
"Salinimicrobium",0.62975764941675
"Neisseria",0.616730090160661
"Shigella",0.605867780039045
"Ruminococcus",0.602498990136287
"Cardiobacterium",0.594029379869548
"Marmoricola",0.495791913187616
"Cellulomonas",0.489801061707629
"Diaphorobacter",0.478991184013473
"Bacillus",0.45782095388535
"Bifidobacterium",0.42527624169158
"Brevibacterium",0.418134772818935
"Rheinheimera",0.389296283829147
"Dorea",0.35527673274537
"Sutterella",0.332484631043939
"Hymenobacter",0.331057163279445
"Barnesiella",0.324289367793824
"Conchiformibius",0.283206916553404
"Proteus",0.281237759937289
"Moraxella",0.251315129018088
"Azospirillum",0.232168193216416
