"Taxa","varImp"
"Exiguobacterium",41.8613600844372
"Streptomyces",26.5452451370964
"Shewanella",25.9405559802736
"Neisseria",21.2666177071886
"Lactococcus",16.8474548000286
"Selenomonas",15.8100202093063
"Bacillus",13.905665434824
"Hydrogenophaga",8.47546067420624
"Lactobacillus",8.43476050064071
"Fusobacterium",7.81101520452182
"Achromobacter",7.71857363556479
"Morganella",7.49641374925264
"Propionibacterium",7.18633596150186
"Rhodococcus",6.99975173424981
"Roseomonas",5.26116574235729
"Klebsiella",5.25173526211636
"Collinsella",5.03931514590005
"Aerococcus",4.84518665377004
"Microbispora",4.38505973983495
"Desulfovibrio",4.38093287638028
"Leptotrichia",4.30611599548417
"Paenibacillus",3.9572701354264
"Pseudomonas",3.75463141979941
"Shigella",3.46033567322865
"Citrobacter",3.16794033490235
"Massilia",2.73625324125171
"Micrococcus",2.58834532660841
"Flavobacterium",2.41508208415398
"Bifidobacterium",2.3026082648044
"Nocardioides",2.16276997993487
"Curtobacterium",1.94434208545355
"Weissella",1.80530090986598
"Aeromonas",1.77354970096655
"Bacteroides",1.65064907231113
"Megasphaera",1.54382015425753
"Novosphingobium",1.50971336876534
"Pseudoxanthomonas",1.46944050000523
"Staphylococcus",1.17250292653458
"Acidovorax",1.12693095037536
"Anaerovorax",1.1034895997233
"Butyricimonas",1.0256513819308
"Parvimonas",0.955057549941202
"Rhodobacter",0.92845653279251
"Blautia",0.920751204546479
"Corynebacterium",0.9127471410887
"Adhaeribacter",0.880508528766833
"Bilophila",0.865062253164751
"Aggregatibacter",0.861801137360679
"Lachnobacterium",0.788169139379501
"Mobiluncus",0.681972605955283
"Campylobacter",0.672869969493985
"Blastococcus",0.6379979812996
"Tannerella",0.629885150799715
"Solibacillus",0.59553554134041
"Modestobacter",0.57680295838448
"Lysobacter",0.564084544996246
"Clostridium",0.542404790374653
"Azospirillum",0.489143064645819
"Alcanivorax",0.469029932153442
"Rothia",0.422588925604046
"Brachybacterium",0.420156690750552
"Ornithinimicrobium",0.367113123947311
"Serratia",0.356627403799277
"Acetivibrio",0.305934143995216
"Rickettsia",0.300705822315387
"Tepidimonas",0.294508852171936
"Actinobacillus",0.257294402809785
"Enterococcus",0.219966844281042
"Odoribacter",0.219518007606537
"Peptoniphilus",0.196604838490027
"Pantoea",0.188833802895997
"Flavonifractor",0.188473867516735
"Salinicoccus",0.15999518455548
"Leuconostoc",0.134392236032103
"Belnapia",0.133904988297255
"Lysinibacillus",0.120235572506027
"Hymenobacter",0.112194051345808
"Anaerococcus",0.0840262719684761
"Brevibacterium",0.0743963852032165
"Methylobacterium",0.0706984580570092
"Janthinobacterium",0.0679583664828608
"Dialister",0.0601773964190565
"Atopobium",0.054849807106815
"Eubacterium",0.0519316665168828
"Sphingobium",0.042236055784353
"Halomonas",0.0407766476310446
"Rheinheimera",0.0406802088454235
"Mycobacterium",0.0347072155019899
"Luteimonas",0.0340539326362962
"Rhizobium",0.0319467090801518
"Agromyces",0.0220678966443758
"Kingella",0.0220443498971025
"Actinomyces",0.0208104585910596
"Comamonas",0.0205282023114806
"Parabacteroides",0.0134219036524199
"Barnesiella",0.0123483223611338
"Arthrobacter",0.00949355662845873
"Stenotrophomonas",0.00921520061281668
"Streptococcus",0.00917518812235787
"Finegoldia",0.00718307486376756
"Geobacillus",0.00650292760201911
"Agrobacterium",0.00624092532303391
"Marmoricola",0.00573554296743148
"Pseudoalteromonas",0.0038126001113693
