"Taxa","varImp"
"Lysinibacillus",116.32025157452
"Corynebacterium",30.5173145366039
"Pseudomonas",13.4401735217399
"Marmoricola",9.9476609873873
"Sphingobium",5.83448391899776
"Shigella",5.55939570755445
"Granulicatella",5.41502145051025
"Serratia",4.44179819643057
"Rhodobacter",3.52298518938694
"Bacteroides",3.12033369838207
"Streptomyces",3.09020972609448
"Pseudonocardia",2.55525214367589
"Streptococcus",2.52135413449333
"Blautia",2.13218274309333
"Micrococcus",2.08739972266538
"Treponema",1.84863808413065
"Oscillibacter",1.68460770174693
"Sutterella",1.6202507327953
"Pseudoalteromonas",1.37169224178248
"Azospirillum",1.35926684798137
"Luteimonas",1.26612953472732
"Brevundimonas",1.13976055994178
"Klebsiella",1.12443865770156
"Eggerthella",0.787088851709388
"Prevotella",0.693123929787069
"Conchiformibius",0.633544151525047
"Shewanella",0.618274303425973
"Proteus",0.517208519921344
"Exiguobacterium",0.499860916557301
"Anaerovorax",0.446226317928606
"Paracoccus",0.442194764519998
"Tannerella",0.413371460605247
"Propionibacterium",0.389063721933532
"Morganella",0.328720714200224
"Bacillus",0.313982389101639
"Massilia",0.312303225234231
"Enterobacter",0.30425432104215
"Devosia",0.303914056037292
"Acidovorax",0.291317827154873
"Williamsia",0.252741164924292
"Enterococcus",0.248422826990396
"Rubellimicrobium",0.23536712498106
"Alcaligenes",0.224101581253195
"Rhizobium",0.189274050611449
"Chryseobacterium",0.185706691101365
"Odoribacter",0.160102298465842
"Mycobacterium",0.125215948210365
"Nesterenkonia",0.122949548944722
"Alloscardovia",0.121578092224026
"Acinetobacter",0.117367573122946
"Peptostreptococcus",0.105314147969255
"Agrobacterium",0.0977083854788469
"Bifidobacterium",0.0882647350762006
"Coprococcus",0.0876775200041755
"Anoxybacillus",0.078228390180151
"Haemophilus",0.0673682274693722
"Geobacillus",0.0586509470816879
"Stenotrophomonas",0.0536039982616991
"Collinsella",0.048407140642595
"Aeromonas",0.046908360522067
"Noviherbaspirillum",0.0444859890801683
"Paenibacillus",0.0414342004058898
"Butyricimonas",0.0410624729812587
"Lactobacillus",0.0360014500206916
"Clostridium",0.0268899052072594
"Methylobacterium",0.0214883873528847
"Actinomyces",0.0209020994878297
"Novosphingobium",0.020628690961168
"Bilophila",0.0188977749749122
"Leptotrichia",0.0185163596683086
"Alkalibacterium",0.0145526300256264
"Bulleidia",0.0132686723413272
"Halomonas",0.0113335185023591
"Gemella",0.0104214061937714
"Faecalibacterium",0.0100374464624563
"Lysobacter",0.00660202567505105
"Veillonella",0.00639591505458198
"Atopobium",0.00615661060917179
"Roseomonas",0.00447570598027445
"Diaphorobacter",0.00332786383109415
"Campylobacter",0.00224463342170323
"Aggregatibacter",0.00211851258466822
"Brachybacterium",0.00187874571546938
"Actinobacillus",0.0016389047937814
"Rhodococcus",0.00145820077004499
"Brevibacterium",0.00133264643771937
"Solobacterium",0.00124746977062066
"Tepidimonas",0.001118730504272
"Hydrogenophaga",0.00106969482500203
"Curtobacterium",0.00090136566122357
"Parabacteroides",0.000864488636080687
