"Taxa","varImp"
"Veillonella",330.946859445218
"Rhodococcus",99.8116599726859
"Actinomyces",84.6861371771565
"Leuconostoc",59.949786870539
"Agrobacterium",36.9448667789105
"Achromobacter",26.962531435329
"Micrococcus",18.5096084148641
"Solobacterium",16.5593510259205
"Myroides",15.5946294929052
"Parvimonas",14.666251224163
"Rothia",14.3202679136319
"Eikenella",13.7879604938144
"Gordonia",13.0983294930606
"Desulfovibrio",13.0257440635935
"Sphingobium",12.3906614282383
"Clostridium",11.5863971783791
"Klebsiella",11.5040154902083
"Citrobacter",10.630721783442
"Finegoldia",10.2433439174568
"Selenomonas",9.96875176851784
"Pseudomonas",9.92281230344016
"Serratia",9.84575341059309
"Faecalibacterium",9.70897794260486
"Massilia",8.97630472866207
"Methylobacterium",8.52215663388761
"Rhizobium",8.30123806194331
"Blautia",7.72371185689729
"Pantoea",7.70135211334493
"Aeromonas",6.78330067393157
"Parabacteroides",6.68789132419273
"Geobacillus",6.64569710975525
"Lactococcus",6.59922315948469
"Butyricimonas",6.3486039951161
"Prevotella",6.28397333562026
"Peptoniphilus",5.57118062771475
"Acetivibrio",5.4514102604599
"Janthinobacterium",5.40853965556798
"Fusobacterium",4.51271858964333
"Campylobacter",4.21463907463551
"Hydrogenophaga",4.09277333337926
"Salinimicrobium",4.0488293564901
"Nocardioides",3.83219246177745
"Anaerococcus",3.81196226301887
"Flavobacterium",3.68052132538202
"Morganella",3.44619180447342
"Pseudoxanthomonas",3.44387166488334
"Tepidimonas",3.29205807378534
"Actinobacillus",3.28823328815497
"Flavonifractor",3.14000435708116
"Alloscardovia",2.99032448343241
"Treponema",2.92953959444388
"Propionibacterium",2.84957155037388
"Stenotrophomonas",2.78580432127739
"Alcanivorax",2.78239454024881
"Kingella",2.72714428634034
"Peptostreptococcus",2.70998931096096
"Catonella",2.5681057000244
"Aggregatibacter",2.441063800201
"Capnocytophaga",2.41060353682969
"Deinococcus",2.30974723218698
"Brevundimonas",2.20384789487882
"Megasphaera",2.07286940667573
"Arcobacter",2.06366352610812
"Streptomyces",1.97773240205585
"Bilophila",1.91579976154415
"Curtobacterium",1.86642153591818
"Collinsella",1.83898613113676
"Devosia",1.83012167109747
"Exiguobacterium",1.74738298677111
"Marmoricola",1.66084733320125
"Kocuria",1.64588348290605
"Planomicrobium",1.62930743262373
"Paenibacillus",1.62716818214046
"Atopobium",1.61406111654056
"Bifidobacterium",1.53871885127171
"Alishewanella",1.51747729086068
"Bacteroides",1.49969393158852
"Azospirillum",1.47333229313397
"Lactobacillus",1.41239080455533
"Diaphorobacter",1.3758199883255
"Acinetobacter",1.26242323491273
"Cellulomonas",1.24639747725451
"Acidovorax",1.23071624196083
"Salinicoccus",1.17949683635909
"Gardnerella",1.16041811014781
"Granulicatella",1.13051493502952
"Alloiococcus",1.0986256592783
"Rickettsia",1.08879537715
"Paludibacter",1.00671390412049
"Modestobacter",0.986144082012105
"Enterococcus",0.922061224244973
"Hymenobacter",0.904156194058051
"Ruminococcus",0.825475589157194
"Oribacterium",0.783596196164701
"Comamonas",0.715708325952735
"Alistipes",0.713738153350377
"Conchiformibius",0.670524773468265
"Tannerella",0.521670191223633
"Eubacterium",0.512231160769414
"Neisseria",0.496366921556064
"Agromyces",0.468612840828169
"Dietzia",0.467332798229744
"Proteus",0.412039058605292
"Cardiobacterium",0.407297050756962
"Sutterella",0.382777527795069
"Akkermansia",0.373822483337712
"Escherichia",0.345547402541008
"Chryseobacterium",0.326827557527034
"Lysinibacillus",0.309947666166638
"Bulleidia",0.294721324775433
"Blastococcus",0.292897176413271
"Barnesiella",0.280274420077136
"Moraxella",0.280055078947974
"Alcaligenes",0.227841769403471
"Lachnobacterium",0.202973549638755
"Rheinheimera",0.175896776785571
