"Taxa","varImp"
"Desulfovibrio",94.0969790313685
"Atopobium",52.8401906114855
"Lautropia",48.7663337110533
"Anaerovorax",47.4409049746059
"Bacteroides",45.8552283847498
"Campylobacter",43.2139997912211
"Exiguobacterium",39.6153212414583
"Methylobacterium",35.6429964024416
"Leuconostoc",35.174110214371
"Corynebacterium",33.6675807538293
"Shewanella",25.1688817024203
"Kocuria",24.5839547358028
"Achromobacter",23.9155275757744
"Micrococcus",19.9273036427002
"Brevundimonas",19.3846969851921
"Alistipes",18.9588708470457
"Flavonifractor",16.4421410066349
"Sutterella",14.84886017203
"Rhizobium",14.5853822650529
"Rothia",14.1123531993577
"Collinsella",13.4358158356249
"Bifidobacterium",13.0904590566889
"Alkalibacterium",12.7209522680777
"Actinobacillus",12.3360412459919
"Mycobacterium",12.3237738491291
"Haemophilus",11.8154407849553
"Veillonella",11.7358128074013
"Serratia",10.7579988161239
"Paenibacillus",10.6273028858933
"Bacillus",10.5697259116228
"Megasphaera",10.402814302493
"Flavobacterium",10.0540843113756
"Arthrobacter",9.6652312475936
"Clostridium",9.24916990919477
"Enterobacter",8.84554150685292
"Streptococcus",8.35153482277557
"Klebsiella",7.84348755412629
"Tannerella",7.82662571634394
"Neisseria",7.40196161969209
"Bilophila",7.31054244462351
"Sphingobium",6.91637237531422
"Azospirillum",6.83780937880549
"Cellulomonas",6.52367157683829
"Janthinobacterium",6.21624013942603
"Citrobacter",6.04649433830981
"Conchiformibius",5.8977710049461
"Geobacillus",5.67921883557858
"Lactobacillus",5.43576899187056
"Streptomyces",5.36067714509386
"Acidovorax",4.67531270088135
"Weissella",4.67123033450107
"Parabacteroides",4.57959516907858
"Actinomyces",4.50438993211342
"Deinococcus",4.29647307790194
"Leptotrichia",4.13858910439281
"Gemella",3.96187952408708
"Moraxella",3.93005237549153
"Morganella",3.34426456501835
"Comamonas",3.01945290560916
"Shigella",3.00513708172658
"Rhodobacter",2.93694204188164
"Pseudomonas",2.77266553922299
"Agrobacterium",2.4417734969254
"Blautia",2.40740312706517
"Erwinia",2.38711590971936
"Anoxybacillus",2.36874243850468
"Rheinheimera",2.27082159281138
"Pantoea",2.25015267260608
"Modestobacter",2.14013999470064
"Novosphingobium",2.0638751602712
"Parvimonas",2.04328719077646
"Aerococcus",2.03519047793031
"Arcobacter",2.02943036762334
"Massilia",2.0184902173175
"Alcaligenes",1.94838722430065
"Agromyces",1.94585595383769
"Aggregatibacter",1.92267276892385
"Oscillibacter",1.89526367328132
"Lysobacter",1.79164661039393
"Facklamia",1.73695726063088
"Lysinibacillus",1.66917918350356
"Aeromonas",1.65470655821839
"Planomicrobium",1.5979435981441
"Barnesiella",1.59386314262756
"Hymenobacter",1.58225156741894
"Myroides",1.58162370988946
"Fusobacterium",1.58129871229821
"Alcanivorax",1.55969084421935
"Enterococcus",1.46215616769858
"Pseudoxanthomonas",1.42485617218374
"Rhodococcus",1.40953705906365
"Granulicatella",1.40067014187694
"Staphylococcus",1.39404280640381
"Eubacterium",1.37998395359407
"Nocardioides",1.36903190966482
"Proteus",1.33628808959475
"Pseudoalteromonas",1.29675683296527
"Rickettsia",1.10219711023594
"Kingella",1.09251837622217
"Devosia",0.933351522784221
"Peptostreptococcus",0.9272029513135
"Hydrogenophaga",0.901578148667629
"Microbispora",0.896649579552749
"Treponema",0.854228108576898
"Alishewanella",0.836055329939089
"Catonella",0.737262491472842
"Luteimonas",0.63692419565689
"Selenomonas",0.604068530927806
"Lachnoanaerobaculum",0.579345383540695
"Tepidimonas",0.577425178974138
"Finegoldia",0.563259040615733
"Ruminococcus",0.525008540153764
"Bulleidia",0.511578497536154
"Acinetobacter",0.423449603775637
"Diaphorobacter",0.402765183422424
"Propionibacterium",0.376877975493497
"Capnocytophaga",0.336757999204953
"Roseburia",0.299772119324673
"Belnapia",0.284371622935872
"Turicibacter",0.27663204327985
"Lachnobacterium",0.231914278246745
