"Taxa","varImp"
"Alkalibacterium",43.051168696018
"Odoribacter",20.5060178967103
"Comamonas",17.5478862979826
"Mobiluncus",16.6493293874058
"Oscillibacter",13.3807630174854
"Flavonifractor",12.0310312363607
"Lactococcus",11.0423573709783
"Dialister",9.86973960903219
"Lysinibacillus",8.96879344949238
"Peptostreptococcus",7.40399597970585
"Solobacterium",6.54477310532958
"Skermanella",6.06822185962585
"Kingella",5.51021149331786
"Achromobacter",5.10916813208378
"Turicibacter",4.87431474017736
"Lachnobacterium",4.8609609944698
"Noviherbaspirillum",4.72572148264169
"Arthrobacter",3.82755799199659
"Gardnerella",3.69823724558552
"Microbispora",3.53013517553616
"Actinomyces",3.21593934862655
"Conchiformibius",2.97337637561934
"Blautia",2.9687031641203
"Moraxella",2.8403952827382
"Janibacter",2.70198629995287
"Halomonas",2.47396803413656
"Bifidobacterium",2.27652367598238
"Serratia",2.19406131840779
"Weissella",2.18637649402931
"Megasphaera",2.12023568729005
"Finegoldia",1.94039500007491
"Brachybacterium",1.7648291632583
"Nesterenkonia",1.74097216425865
"Aeromonas",1.66411830372914
"Klebsiella",1.58650539105655
"Desulfovibrio",1.58351441089205
"Faecalibacterium",1.57024720018283
"Belnapia",1.21298054831358
"Janthinobacterium",1.0207127601677
"Erwinia",0.918830893065627
"Roseburia",0.796229395240654
"Akkermansia",0.781454198092341
"Rubellimicrobium",0.772720070410103
"Gemella",0.700254203857448
"Thermomonas",0.612578700181765
"Oribacterium",0.603871190284674
"Arcobacter",0.498832847505874
"Salinimicrobium",0.49450445770388
"Sphaerobacter",0.446293446261961
"Veillonella",0.435664808711867
"Haemophilus",0.336730074522463
"Myroides",0.316329442310811
"Paludibacter",0.289183565785838
"Anaerococcus",0.28575208660208
"Treponema",0.269359548098248
"Coprococcus",0.26241381167363
"Deinococcus",0.255661536416656
"Aggregatibacter",0.248326126089589
"Sphingobium",0.244809885274456
"Eikenella",0.238132122513254
"Enterobacter",0.222805476930766
"Williamsia",0.208658786582543
"Selenomonas",0.168589566995911
"Lysobacter",0.168534533812476
"Leuconostoc",0.129125581822892
"Modestobacter",0.127946050857326
"Hymenobacter",0.125339392661575
"Paracoccus",0.118394912270497
"Butyricimonas",0.107206258602927
"Propionimicrobium",0.107165778645867
"Catonella",0.100639251094463
"Novosphingobium",0.0994544530318297
"Rhizobium",0.0718978577101174
"Phascolarctobacterium",0.0686153724755086
"Aerococcus",0.0676299126704091
"Curtobacterium",0.0513332167437034
"Anoxybacillus",0.0503281759702021
"Tannerella",0.0462336729913304
"Leptotrichia",0.0369285567406958
"Solibacillus",0.0237160063149608
"Acetivibrio",0.0214770511085157
"Anaerovorax",0.019816790037007
"Tessaracoccus",0.0159046280251872
"Afifella",0.0122118703656789
"Actinobacillus",0.0107111986509806
"Collinsella",0.00926335034360888
"Eubacterium",0.00923113453536922
"Gordonia",0.00885741467640656
"Tepidimonas",0.00885308860626181
"Scardovia",0.00874985687637732
"Alloscardovia",0.00764516566270888
"Agrobacterium",0.00694110522106824
"Geobacillus",0.00647830406772765
"Neisseria",0.0062652742217662
"Rhodococcus",0.00553677423015762
"Anaerostipes",0.00531895347800879
"Gluconacetobacter",0.00465469863238305
"Cellulomonas",0.00401777878166621
"Eggerthella",0.00369305776322066
"Bilophila",0.00343260785552904
"Planomicrobium",0.00308534964280567
"Exiguobacterium",0.00300788130489333
"Ethanoligenens",0.00295110668906103
"Nocardioides",0.00242518187487574
"Rheinheimera",0.00220676664960279
"Luteimonas",0.0013648583398202
"Agromyces",0.000683828911007342
"Cardiobacterium",0.000634695318283228
"Diaphorobacter",0.000498947015063148
