"Taxa","varImp"
"Curtobacterium",210.383743960994
"Sutterella",179.104223462341
"Diaphorobacter",173.265013935535
"Geobacillus",168.942851380649
"Flavobacterium",152.026881188374
"Klebsiella",148.334196976369
"Collinsella",147.344054716019
"Brachybacterium",137.632530143832
"Kocuria",132.570198280039
"Capnocytophaga",124.829099104437
"Campylobacter",123.026662872727
"Sphingobium",122.614807751052
"Rhodococcus",121.444610999623
"Achromobacter",118.988484325244
"Aeromonas",118.799336645255
"Bacillus",117.314809602732
"Citrobacter",117.182659249888
"Parvimonas",111.376662906777
"Rhodobacter",108.255986864529
"Mycobacterium",108.009313625158
"Porphyromonas",102.756742327397
"Tepidimonas",100.670697977022
"Shewanella",100.434939067786
"Prevotella",99.8811737407483
"Peptoniphilus",99.0722985167118
"Neisseria",98.0718826190588
"Atopobium",95.8193477533727
"Finegoldia",93.6157057780529
"Salinicoccus",91.5397873346304
"Paracoccus",85.8576522029584
"Moraxella",85.2940905894125
"Arthrobacter",85.1313310310723
"Pseudomonas",85.0163602525538
"Treponema",84.9317907157103
"Stenotrophomonas",80.096422528964
"Roseomonas",76.0317564045604
"Parabacteroides",75.3357085547721
"Enterococcus",73.784933805384
"Chryseobacterium",70.9230112312332
"Pantoea",70.120527417574
"Bacteroides",65.3191102340804
"Staphylococcus",64.8109430751866
"Methylobacterium",64.381266993767
"Sphaerobacter",63.2134284012805
"Streptomyces",61.6023135390045
"Hydrogenophaga",60.428789926257
"Escherichia",60.0825773696707
"Anoxybacillus",60.0147663557566
"Lactobacillus",57.9377156424702
"Phascolarctobacterium",57.3686796149529
"Acidovorax",56.8294704811036
"Cellulomonas",54.7832581887507
"Agrobacterium",51.5763950458052
"Acinetobacter",48.6808510203912
"Flavonifractor",48.4268466294219
"Novosphingobium",47.859935728206
"Selenomonas",46.5031326366571
"Serratia",45.5236260692573
"Exiguobacterium",43.242350992076
"Actinobacillus",43.0162798389748
"Proteus",41.7474968259403
"Azospirillum",41.3737833182524
"Rhizobium",39.9831199096884
"Shigella",39.715151388126
"Faecalibacterium",39.3464635389645
"Blautia",38.2641580328992
"Tessaracoccus",37.9065002785971
"Janthinobacterium",36.9466447289405
"Devosia",35.0044412722511
"Ruminococcus",33.3995824514895
"Paenibacillus",33.2737722858777
"Granulicatella",32.439134799238
"Blastococcus",32.3552839863053
"Rothia",31.1450293784865
"Bilophila",30.7398635881509
"Leptotrichia",30.0390882126412
"Dorea",29.6122673621842
"Butyricimonas",29.2862275528131
"Massilia",28.9042935422347
"Janibacter",28.8840055097468
"Fusobacterium",28.6733585202381
"Williamsia",28.1000348106056
"Gordonia",27.855776540859
"Pseudoxanthomonas",27.183442645909
"Scardovia",26.5569343288043
"Modestobacter",26.1294210510531
"Propionibacterium",25.6477224598039
"Gemella",25.4845017459824
"Haemophilus",24.5611745018375
"Streptococcus",23.6945357478521
"Mogibacterium",22.5108192251957
"Dietzia",20.9705681236423
"Pseudoalteromonas",20.7939187940383
"Eubacterium",19.1274661860156
"Rickettsia",18.0282109949722
"Pseudonocardia",18.0072056677175
"Hymenobacter",17.170590942695
"Ornithinimicrobium",16.7968660129189
"Lachnobacterium",16.6082394415163
"Alcanivorax",16.3830119584438
"Alcaligenes",16.0953881929907
"Oscillibacter",15.1298956101789
"Desulfovibrio",15.1179703203735
"Lysobacter",14.3788908967043
"Brevundimonas",14.3255646745634
"Alkalibacterium",14.1683644021621
"Comamonas",13.9673303845518
"Cardiobacterium",13.8384517041715
"Rheinheimera",13.6434741069312
"Veillonella",12.8683652357824
"Corynebacterium",12.714384143279
"Clostridium",10.8294299868371
"Skermanella",9.81595197560426
"Noviherbaspirillum",9.16042491538452
"Leuconostoc",8.7263296769145
"Rubellimicrobium",8.12158721147774
"Conchiformibius",8.08768380728774
"Lysinibacillus",7.74945467331832
"Halomonas",7.53241434761138
"Alistipes",6.80566989252774
"Aerococcus",6.20672936670068
"Aggregatibacter",6.08864615417167
"Myroides",6.03258003203956
"Megasphaera",5.51717586209486
"Tannerella",5.18534826440517
