"Taxa","varImp"
"Desulfovibrio",89.6609035004183
"Kocuria",54.6065017906264
"Shewanella",52.8981205312854
"Alcaligenes",34.2999989141003
"Pseudomonas",34.1015703711399
"Curtobacterium",27.6133898276757
"Halomonas",27.1253622649793
"Paenibacillus",25.6238855778785
"Achromobacter",24.8025500305018
"Corynebacterium",23.2560528510159
"Streptomyces",22.840699978516
"Anaerovorax",22.7589687242273
"Odoribacter",21.5133927003743
"Hymenobacter",20.8395667357825
"Bacteroides",20.2045478408303
"Shigella",19.9111606098535
"Mycobacterium",19.2493159839099
"Alcanivorax",18.5438251008671
"Azospirillum",18.3643793150269
"Brevundimonas",18.2825704721031
"Akkermansia",18.0620437293473
"Proteus",17.9145862703585
"Blautia",17.2174574754498
"Nocardioides",16.4567361308445
"Tepidimonas",15.963137773749
"Lachnobacterium",15.6798573460263
"Flavonifractor",14.0051266717382
"Campylobacter",13.6629027322056
"Porphyromonas",13.0353388888912
"Geobacillus",12.9702856662889
"Methylobacterium",12.1242861346053
"Eikenella",11.7601183799084
"Pantoea",11.5329651934257
"Arcobacter",11.3924978370858
"Blastococcus",10.4969734275313
"Roseomonas",9.92049827952467
"Clostridium",9.69630254537893
"Cellulomonas",9.57005589439775
"Brachybacterium",9.40836370895313
"Pseudonocardia",8.87402976450049
"Atopobium",8.8540012017805
"Exiguobacterium",8.7961348864029
"Capnocytophaga",8.67215696216248
"Propionibacterium",8.41671603620252
"Massilia",8.34783875997964
"Pseudoalteromonas",8.29731806088972
"Acetivibrio",8.29571865552719
"Rhodococcus",8.28839532161664
"Treponema",8.21020792226858
"Peptoniphilus",8.15656246313174
"Alkalibacterium",7.63874746282753
"Salinimicrobium",7.58915497043758
"Parabacteroides",7.45868489002807
"Erwinia",7.35089257495993
"Eubacterium",7.3324616828456
"Leptotrichia",6.72653426373741
"Bilophila",6.6774108810971
"Turicibacter",6.65464860627418
"Solibacillus",5.89533489681969
"Lysobacter",5.83119411339995
"Aggregatibacter",5.79875419675722
"Acidovorax",5.7252532728159
"Citrobacter",5.61111231683416
"Barnesiella",5.40385079452389
"Oribacterium",5.27496758454192
"Megasphaera",5.26536121295899
"Enterococcus",5.14720178790788
"Holdemania",5.13289412651697
"Fusobacterium",4.92038046702486
"Anoxybacillus",4.85099879858593
"Myroides",4.40079835434274
"Hydrogenophaga",4.39781883585519
"Lactococcus",4.31548542645233
"Agromyces",4.30889298871141
"Bulleidia",3.94918270249781
"Neisseria",3.94231232233775
"Stenotrophomonas",3.81063485082576
"Actinomyces",3.67202545236332
"Aeromonas",3.49545432629008
"Anaerococcus",3.3073038889137
"Dialister",3.26738555653195
"Novosphingobium",3.23718772467086
"Nesterenkonia",3.04278492244064
"Comamonas",2.86601069990929
"Phascolarctobacterium",2.7877845544511
"Agrobacterium",2.7128234987474
"Butyricimonas",2.69152448590207
"Belnapia",2.67717952671194
"Alistipes",2.50373524707927
"Morganella",2.42096943865529
"Leuconostoc",2.39551356077767
"Gemella",2.39191511922464
"Rickettsia",2.12167582064292
"Klebsiella",2.05365059154184
"Pseudoxanthomonas",2.04124506399831
"Gardnerella",2.00422901861918
"Arthrobacter",1.82566075111479
"Streptococcus",1.7701748216203
"Lysinibacillus",1.76764035157091
"Dietzia",1.75943927434768
"Bifidobacterium",1.75882685836768
"Dorea",1.67032135981962
"Weissella",1.59555552669721
"Gluconacetobacter",1.51002602418729
"Moraxella",1.46068606060826
"Actinobacillus",1.34442271265437
"Parvimonas",1.33657735236647
"Deinococcus",1.33347355808054
"Ruminococcus",1.26004162072804
"Flavobacterium",1.22448536269166
"Enterobacter",1.06788968198824
"Modestobacter",1.02469893549551
"Janthinobacterium",1.02385343017682
"Serratia",0.890468216025197
"Rubellimicrobium",0.807187815858965
"Alloscardovia",0.690879381860474
"Sutterella",0.657607332450352
"Luteimonas",0.639663627438894
"Conchiformibius",0.632235534823602
"Haemophilus",0.605697707278503
"Skermanella",0.477727615329849
"Sphingobium",0.409082858288798
"Rothia",0.390339869375752
"Alloiococcus",0.373202840212955
"Bacillus",0.299309638720453
"Lachnoanaerobaculum",0.262032456884197
