"Taxa","varImp"
"Blautia",22.194582368518
"Hydrogenophaga",21.663837070179
"Brachybacterium",20.1137503681001
"Kocuria",18.1702062226584
"Paracoccus",18.0006270165886
"Lactobacillus",15.7404791029151
"Brevundimonas",11.6555169677104
"Desulfovibrio",11.2699928384437
"Erwinia",11.2341858402792
"Comamonas",9.6128017328565
"Leuconostoc",8.12799549111608
"Proteus",6.36848424968223
"Deinococcus",6.23976049810375
"Klebsiella",6.15998881908566
"Tepidimonas",6.08144104354009
"Massilia",6.04870561151088
"Anoxybacillus",5.69241039803736
"Methylobacterium",5.38770560777427
"Azospirillum",5.13331265939258
"Shigella",5.11973627717259
"Campylobacter",4.96529544825238
"Devosia",4.76794330190411
"Conchiformibius",4.64838970164085
"Flavobacterium",4.61482447329053
"Parvimonas",4.4306252084865
"Alistipes",4.20273899749529
"Janthinobacterium",4.04050224925835
"Arthrobacter",3.94996548551435
"Oscillibacter",3.89545483335138
"Prevotella",3.48338880014695
"Dietzia",3.4002195548014
"Ruminococcus",3.3278436192194
"Barnesiella",3.13587935741025
"Rothia",3.1130613399333
"Peptoniphilus",3.08562835732128
"Novosphingobium",3.08232279944539
"Atopobium",3.01747080026949
"Pseudoxanthomonas",2.93836918973548
"Bulleidia",2.908516473799
"Cellulomonas",2.89236202265782
"Lysobacter",2.80606344559885
"Anaerovorax",2.74363576516976
"Arcobacter",2.73115027884665
"Rubellimicrobium",2.67786779343183
"Mycobacterium",2.64234867066037
"Williamsia",2.54533747279435
"Lysinibacillus",2.34099911043034
"Geobacillus",2.33550940273506
"Aerococcus",1.97636389832763
"Serratia",1.92549831098154
"Rickettsia",1.88450980099232
"Clostridium",1.83386185128411
"Collinsella",1.82746235995296
"Escherichia",1.72772137613187
"Acinetobacter",1.70552560574913
"Alcaligenes",1.68982482249375
"Capnocytophaga",1.58236467119454
"Aggregatibacter",1.47583291186189
"Luteimonas",1.4335670815168
"Leptotrichia",1.41047387728812
"Staphylococcus",1.26221913101959
"Sphingobium",1.2050942965527
"Facklamia",1.19440950058626
"Bifidobacterium",1.19138179052981
"Bilophila",1.1180464158293
"Pseudonocardia",1.11260170896819
"Alkalibacterium",1.02656954768351
"Hymenobacter",1.00181321171123
"Pantoea",0.99755391804537
"Marmoricola",0.964953336128249
"Lautropia",0.954189483504629
"Enterobacter",0.93531013967319
"Pseudomonas",0.919802086600524
"Neisseria",0.868207432235425
"Blastococcus",0.847612221063184
"Selenomonas",0.790170189236017
"Alcanivorax",0.691561908390803
"Anaerococcus",0.690944490736845
"Enterococcus",0.680401220556984
"Treponema",0.67363456894227
"Moraxella",0.667084009729467
"Rhizobium",0.629045220875349
"Agromyces",0.593259457229696
"Sutterella",0.552899512959273
"Lactococcus",0.548152928124817
"Stenotrophomonas",0.525235257580625
"Faecalibacterium",0.387000112433616
"Weissella",0.379938201994756
"Actinomyces",0.328738475986632
"Butyricimonas",0.322576842633104
"Halomonas",0.31495282923558
"Propionibacterium",0.313729521580366
"Diaphorobacter",0.258328647837277
"Curtobacterium",0.244125555614617
"Cardiobacterium",0.225397040468625
"Bacteroides",0.221059815394298
"Achromobacter",0.202432949696232
"Actinobacillus",0.196382241112405
"Bacillus",0.17548474755248
"Exiguobacterium",0.175465537519124
"Gardnerella",0.126541786344968
"Coprococcus",0.113421008792052
"Pseudoalteromonas",0.0903731486144056
"Myroides",0.0896350028670212
"Haemophilus",0.0891795831810626
"Nocardioides",0.0873665120485679
"Rhodococcus",0.0797786316994753
"Paludibacter",0.0740654387044897
"Porphyromonas",0.0703707977032729
"Modestobacter",0.0687951304754221
"Chryseobacterium",0.0610882354864159
"Finegoldia",0.0574044301808312
"Aeromonas",0.051182401153313
"Flavonifractor",0.0456970612065533
"Mobiluncus",0.0398774911262033
"Micrococcus",0.0346875754886056
"Acetivibrio",0.0309700090301071
"Microbispora",0.0304569510465696
"Parabacteroides",0.029558362621062
"Kingella",0.023950018936577
"Eubacterium",0.0218063853332743
