"Taxa","varImp"
"Azospirillum",19.0976887380874
"Brachybacterium",15.1981586921739
"Alcaligenes",12.9994837077579
"Alloscardovia",12.4351470135607
"Geobacillus",11.8344983028275
"Odoribacter",11.7619486042028
"Brevundimonas",11.0654510304292
"Clostridium",10.668468160874
"Pseudomonas",10.4997387932474
"Agrobacterium",10.3613183914977
"Novosphingobium",9.29240387161773
"Blautia",8.89753051542169
"Neisseria",8.63345862590258
"Janthinobacterium",7.32498830620448
"Peptoniphilus",6.94855235417792
"Flavobacterium",6.86345037963858
"Sphingobium",6.81916543436096
"Bacillus",6.55621909676756
"Parabacteroides",6.34333330148106
"Massilia",5.92497973547243
"Methylobacterium",5.81340000330993
"Finegoldia",5.76126624079611
"Hymenobacter",4.95833333333333
"Flavonifractor",4.89684468745307
"Lactobacillus",4.42538280391439
"Brevibacterium",4.31216303599869
"Butyricimonas",4.21958721272366
"Hydrogenophaga",4.16178015791072
"Rhizobium",4.14146900565166
"Arthrobacter",4.13725840439152
"Myroides",4.09208538814481
"Achromobacter",4.04569254248445
"Citrobacter",4.04548041002774
"Exiguobacterium",4.01668216457882
"Corynebacterium",3.98796516492897
"Gardnerella",3.8713559908912
"Oscillibacter",3.67427193395549
"Shewanella",3.64017125741783
"Acidovorax",3.59185172096009
"Aeromonas",3.55731483904397
"Actinomyces",3.43534583230442
"Luteimonas",3.30215278688247
"Tannerella",3.21193583699985
"Serratia",3.1489085133664
"Ruminococcus",3.12461308288509
"Lysinibacillus",3.05321456183413
"Erwinia",3.0089701991777
"Lactococcus",2.97035639886726
"Pseudonocardia",2.91348515067281
"Rhodococcus",2.91244054887972
"Eikenella",2.89811460697346
"Klebsiella",2.82657279669562
"Rickettsia",2.78890075094848
"Veillonella",2.72953549176506
"Bifidobacterium",2.72426411774203
"Kocuria",2.70714666048887
"Pantoea",2.69816167591813
"Pseudoxanthomonas",2.69614403352428
"Roseburia",2.64117559612442
"Escherichia",2.56086518811049
"Anaerococcus",2.5205389177988
"Marmoricola",2.45241574499314
"Halomonas",2.44675169819773
"Cardiobacterium",2.3544498699759
"Agromyces",2.23134942750972
"Proteus",2.02589483788678
"Streptomyces",1.9991764552712
"Barnesiella",1.9976276385533
"Mobiluncus",1.97964917476724
"Staphylococcus",1.96702981089312
"Tepidimonas",1.92903381431464
"Paracoccus",1.9243388524505
"Streptococcus",1.87847360144462
"Bulleidia",1.85251343773182
"Mycobacterium",1.84521857508067
"Fusobacterium",1.78272480691955
"Devosia",1.7469699830833
"Turicibacter",1.73998648953195
"Leptotrichia",1.69593655626631
"Akkermansia",1.53758227265276
"Conchiformibius",1.49477704966296
"Enterobacter",1.41884463046933
"Chryseobacterium",1.38722290903924
"Bacteroides",1.33249061085926
"Alkalibacterium",1.18914444176498
"Porphyromonas",1.17556494555514
"Acinetobacter",1.10977712903213
"Desulfovibrio",1.10917529936567
"Lysobacter",1.08485856710532
"Lachnoanaerobaculum",1.07619821965493
"Comamonas",1.00799134883035
"Morganella",1.00774798827188
"Aggregatibacter",0.959310626389359
"Campylobacter",0.958058612057084
"Arcobacter",0.83749902247512
"Parvimonas",0.811877325541283
"Alistipes",0.778616977714398
"Aerococcus",0.755164725481516
"Treponema",0.717943225085879
"Scardovia",0.663002526327936
"Rhodobacter",0.643186268326885
"Rheinheimera",0.628707594102393
"Sutterella",0.62667907541575
"Leuconostoc",0.567630310454988
"Selenomonas",0.567156401037034
"Enterococcus",0.551800953523403
"Micrococcus",0.543685299900454
"Pseudoalteromonas",0.531095663783846
"Blastococcus",0.475301744942503
"Weissella",0.466928362846391
"Curtobacterium",0.454261956733577
"Mogibacterium",0.420616135964832
"Stenotrophomonas",0.416648417988985
"Bilophila",0.413348325217922
"Alcanivorax",0.403686275097724
"Faecalibacterium",0.400296744386533
"Microbispora",0.356020992856044
"Actinobacillus",0.347872647107446
"Oribacterium",0.290289956512265
"Moraxella",0.280537308844907
"Collinsella",0.278288239978843
"Megasphaera",0.241149298674098
"Prevotella",0.218147419258845
"Kingella",0.217323982990683
"Anaerovorax",0.21349072346728
"Skermanella",0.191946769144069
"Paenibacillus",0.181220043615582
"Cellulomonas",0.176113117835183
"Anoxybacillus",0.173912534209468
"Roseomonas",0.141152022938289
"Nocardioides",0.137914906484743
