"Taxa","varImp"
"Lysinibacillus",45.3025076436232
"Faecalibacterium",41.9579097358078
"Alcaligenes",30.035227095042
"Propionibacterium",30.0307986768679
"Blautia",28.2065162083082
"Ruminococcus",23.2854083222371
"Brachybacterium",22.4295405958039
"Aeromonas",21.4225850666152
"Planomicrobium",19.1674268051605
"Luteimonas",18.91379711875
"Anaerovorax",18.7936787282411
"Akkermansia",18.6596346721982
"Alishewanella",18.5055812991662
"Rheinheimera",18.0945619335175
"Comamonas",17.9700544416745
"Rothia",16.9394465039635
"Cellulomonas",16.8374895611914
"Lachnoanaerobaculum",16.6899526634232
"Achromobacter",15.6773480361427
"Flavonifractor",15.2506621382219
"Halomonas",14.690080891098
"Rubellimicrobium",14.5316291502599
"Acetivibrio",14.132959391445
"Roseomonas",13.9040608551294
"Hydrogenophaga",13.7025363839146
"Rhodobacter",13.6833945997415
"Leptotrichia",13.5342546289173
"Alkalibacterium",13.4999542014878
"Megasphaera",12.8980855876839
"Lautropia",12.395763875812
"Veillonella",12.3833700697979
"Micrococcus",12.1232025966018
"Anaerococcus",11.7791176783854
"Eggerthella",11.6505187877592
"Finegoldia",11.0641770231091
"Oribacterium",10.8833004354168
"Massilia",10.5758818413229
"Skermanella",10.3700642824063
"Turicibacter",10.0911629251136
"Arcobacter",9.93385917223767
"Paludibacter",9.84397005175046
"Kocuria",9.80616296989153
"Novosphingobium",9.78348229662997
"Mogibacterium",9.5006830692349
"Aggregatibacter",9.48968558287834
"Ornithinimicrobium",9.42632184969454
"Sutterella",9.0198991522128
"Scardovia",8.67197565927759
"Weissella",8.23907896966623
"Butyricimonas",8.07216023321896
"Conchiformibius",8.01279843533342
"Lachnobacterium",7.98895069108956
"Bilophila",7.45736488922946
"Mobiluncus",7.36156928378476
"Salinimicrobium",7.2743743442751
"Odoribacter",7.19088661963729
"Microbispora",7.12871570475491
"Deinococcus",6.83668542120444
"Gordonia",6.58226406086507
"Sphingobium",6.49711391052489
"Anoxybacillus",6.26295901280164
"Dorea",6.24432649732161
"Dietzia",6.12829140513474
"Paenibacillus",6.01845121017238
"Anaerostipes",6.01541105236826
"Pseudoxanthomonas",6.01085754439603
"Rhodococcus",5.85737100113816
"Actinomyces",5.82028163793286
"Parabacteroides",5.8075291958925
"Roseburia",5.66956156600529
"Bifidobacterium",5.65394874650031
"Fusobacterium",5.40136679522142
"Streptomyces",5.27842602734077
"Shewanella",5.13585799068604
"Sphaerobacter",4.87864784633452
"Morganella",4.78972247387441
"Capnocytophaga",4.71570733214504
"Brevibacterium",4.68474611163146
"Klebsiella",4.65744408741222
"Alcanivorax",4.62128414829118
"Alistipes",4.58442310182703
"Chryseobacterium",4.55617142560888
"Myroides",4.45060985133601
"Gluconacetobacter",4.28312028636613
"Jeotgalicoccus",4.10951098706459
"Eubacterium",4.02627966903189
"Eikenella",4.01156477243706
"Parvimonas",3.99898936189705
"Acinetobacter",3.94399321359939
"Blastococcus",3.88593566477299
"Atopobium",3.86135338427025
"Janthinobacterium",3.85451125617762
"Solibacillus",3.60975223986804
"Serratia",3.5903255786736
"Catonella",3.47812777271431
"Rickettsia",3.34393406926979
"Gemella",3.27190108054784
"Collinsella",3.24605207453116
"Gardnerella",3.06667409702473
"Williamsia",3.0512480776923
"Proteus",3.02482650532834
"Lactococcus",2.94990351474657
"Agromyces",2.82951043470294
"Azospirillum",2.80431709383663
"Prevotella",2.65242881739349
"Dialister",2.65237784753103
"Acidovorax",2.59283713683463
"Stenotrophomonas",2.52123151735068
"Barnesiella",2.47481505063616
"Aerococcus",2.29005069901921
"Porphyromonas",2.28315807691812
"Brevundimonas",2.21983133240268
"Enterococcus",2.20095364490833
"Hymenobacter",2.1813825548029
"Clostridium",2.01791868144851
"Treponema",1.89164050663946
"Paracoccus",1.87687615349928
"Bacillus",1.67913091403869
"Kingella",1.65429593367246
"Selenomonas",1.57871232002215
"Campylobacter",1.52189878668724
"Alloscardovia",1.41769792930799
"Modestobacter",1.40564833078897
"Nocardioides",1.35938415300891
"Alkanindiges",1.34062592351215
"Enterobacter",1.24579937387137
"Escherichia",1.07589997207444
"Actinobacillus",1.06532935710297
"Moraxella",1.06240972596153
"Belnapia",1.01300291624198
"Facklamia",0.988975931183398
"Citrobacter",0.883543799337599
"Pantoea",0.856266222672312
"Rhizobium",0.840635486099859
"Pseudonocardia",0.80797966120963
"Shigella",0.744481483123244
"Tepidimonas",0.711092951849724
"Desulfovibrio",0.661538383647172
"Haemophilus",0.652901709739674
"Tannerella",0.637227161067615
