"Taxa","varImp"
"Arthrobacter",23.0101900439936
"Capnocytophaga",22.0614342938467
"Dialister",21.5348864191185
"Peptostreptococcus",19.9500576707173
"Rhodobacter",19.7555140768332
"Finegoldia",19.1843229687202
"Morganella",16.8840489929598
"Alistipes",15.3415436499502
"Escherichia",14.9604069052775
"Micrococcus",14.478767901936
"Bilophila",11.2273245335411
"Myroides",11.1594771444327
"Brevibacterium",11.1255692488484
"Actinomyces",10.8062601658439
"Arcobacter",9.33748100131823
"Lachnoanaerobaculum",9.04242858728066
"Anoxybacillus",8.59722129026443
"Catonella",8.12981903789426
"Cellulomonas",8.10040504015987
"Rothia",8.08681616206098
"Rickettsia",7.8630703546465
"Campylobacter",7.35566518558239
"Modestobacter",6.41408118048189
"Solibacillus",6.37544378327645
"Chryseobacterium",6.36824525377826
"Planomicrobium",6.33274311056701
"Gardnerella",5.80592413432228
"Corynebacterium",5.56393977937422
"Desulfovibrio",4.57109594970479
"Brachybacterium",4.49475795888668
"Azospirillum",4.41713321199827
"Methylobacterium",4.3388968993093
"Anaerostipes",4.22341908333413
"Acinetobacter",4.21003262504236
"Nesterenkonia",4.07273965889224
"Mycobacterium",3.94140123864047
"Bulleidia",3.93958502272354
"Devosia",3.61265169405289
"Novosphingobium",3.49880107782522
"Paenibacillus",3.4647192058677
"Klebsiella",3.33659527478549
"Bifidobacterium",3.07703297944943
"Tannerella",3.07014839382793
"Luteimonas",2.8047610352772
"Bacillus",2.70102536728453
"Pseudonocardia",2.68863625761105
"Gordonia",2.59521769009297
"Nocardioides",2.34947700740954
"Anaerococcus",2.16873107201274
"Weissella",2.10181131279923
"Ruminococcus",1.97034187837752
"Streptococcus",1.75900761958717
"Lactococcus",1.45341828557519
"Rhodococcus",1.36085832871354
"Neisseria",1.30344283607671
"Comamonas",1.29902200284975
"Pseudoxanthomonas",1.26864175659571
"Brevundimonas",1.24057779712103
"Rubellimicrobium",1.1530272284325
"Faecalibacterium",1.09029035270478
"Blautia",1.04700719130368
"Achromobacter",1.00994867536303
"Enterococcus",0.998060786318544
"Oscillibacter",0.888979078551549
"Alcaligenes",0.864825046747397
"Dietzia",0.855060812635967
"Tepidimonas",0.804443386273144
"Hymenobacter",0.796035789395887
"Rhizobium",0.795054367718922
"Streptomyces",0.78070311686127
"Propionimicrobium",0.650241413095498
"Alkalibacterium",0.614686347562588
"Halomonas",0.599494381316227
"Atopobium",0.552436608899349
"Barnesiella",0.537466522127048
"Sphingobium",0.516112415059991
"Agrobacterium",0.515640417426633
"Ornithinimicrobium",0.505479396450052
"Marmoricola",0.470991623258191
"Paracoccus",0.458950738172327
"Proteus",0.421865190118671
"Granulicatella",0.397079465662746
"Geobacillus",0.350899542129932
"Massilia",0.341963700848427
"Anaerovorax",0.327025787207935
"Alloscardovia",0.316634483728881
"Actinobacillus",0.279400060705847
"Enterobacter",0.241819260768328
"Pseudoalteromonas",0.186275954479527
"Fusobacterium",0.18393182428164
"Akkermansia",0.179955695562065
"Stenotrophomonas",0.176429657653694
"Parvimonas",0.171768089244824
"Treponema",0.166310574509871
"Propionibacterium",0.139018083512131
"Gluconacetobacter",0.114380315299571
"Butyricimonas",0.11414546452631
"Curtobacterium",0.113447772624691
"Aggregatibacter",0.0986701262030433
"Eikenella",0.0875847575749698
"Oribacterium",0.0858554181949036
"Alkanindiges",0.0770606215804027
"Odoribacter",0.0629466262581267
"Phascolarctobacterium",0.0564315904134159
"Selenomonas",0.051905337361688
"Lysobacter",0.0498318807492139
"Jeotgalicoccus",0.0442013693599982
"Aeromonas",0.0440520807871193
"Hydrogenophaga",0.0375833239284845
"Aerococcus",0.0319422085554056
"Microbispora",0.030423841964526
"Megasphaera",0.0277182486103121
"Bacteroides",0.0245721164453074
"Moraxella",0.0231993274951596
"Mobiluncus",0.0197503688102918
"Clostridium",0.0131808516173034
"Alloiococcus",0.00768049402082887
