"Taxa","varImp"
"Belnapia",8.23869874810761
"Actinobacillus",5.40555430123066
"Corynebacterium",5.03607125527776
"Rheinheimera",4.80005547020548
"Sphingobium",4.63063436043011
"Veillonella",4.53288988861086
"Arthrobacter",4.10728876572997
"Salinimicrobium",4.07382073389249
"Alcanivorax",4.06117255505231
"Marmoricola",3.71745684402447
"Rickettsia",3.69127039036383
"Micrococcus",3.13754996636312
"Gemella",2.98622338512167
"Parabacteroides",2.71789599613598
"Agromyces",2.5127376052345
"Arcobacter",2.43767641457409
"Lautropia",2.26215601843224
"Lachnoanaerobaculum",2.16786487835086
"Collinsella",2.08698626110264
"Bulleidia",2.07932762482777
"Anaerococcus",1.86886745339828
"Shewanella",1.84437530507644
"Pseudomonas",1.80009754575288
"Lysinibacillus",1.7188327678689
"Oribacterium",1.60654798032211
"Alloscardovia",1.60079663418381
"Capnocytophaga",1.53665302596803
"Scardovia",1.50886637183622
"Acinetobacter",1.44308077055459
"Sutterella",1.34466141135748
"Hymenobacter",1.30810105126318
"Campylobacter",1.2276134328893
"Tepidimonas",1.19972775944986
"Cardiobacterium",1.1655735568676
"Desulfovibrio",1.1181487803474
"Flavonifractor",1.06251644837135
"Anoxybacillus",1.05377720565452
"Erwinia",1.04969617054141
"Blastococcus",0.983639504693016
"Alishewanella",0.966910345970247
"Rhodococcus",0.966290260885801
"Lactobacillus",0.965390850982193
"Selenomonas",0.951558010210276
"Coprococcus",0.90222373096538
"Mycobacterium",0.875362740906809
"Akkermansia",0.835908976742935
"Massilia",0.826824125372221
"Ornithinimicrobium",0.823817695855934
"Weissella",0.794193894140526
"Megasphaera",0.788182420487906
"Comamonas",0.779564831456114
"Conchiformibius",0.766814194391976
"Azospirillum",0.75586662363543
"Brevundimonas",0.744669740477106
"Proteus",0.717546964663606
"Nesterenkonia",0.679860731150941
"Blautia",0.671299858243879
"Paludibacter",0.662819947351603
"Nocardioides",0.659184336686021
"Clostridium",0.605009268830446
"Rubellimicrobium",0.584485693190325
"Dietzia",0.562407051905921
"Enterococcus",0.547103866386401
"Actinomyces",0.53477290371662
"Eubacterium",0.525316658980551
"Devosia",0.510901991414475
"Aerococcus",0.500195951746864
"Aggregatibacter",0.492935393091803
"Jeotgalicoccus",0.441792572502033
"Peptoniphilus",0.44107115223501
"Atopobium",0.431916011033012
"Parvimonas",0.423778127126412
"Lachnobacterium",0.402733178883446
"Tannerella",0.392545035121587
"Alkalibacterium",0.38414978439025
"Hydrogenophaga",0.381266581566175
"Gluconacetobacter",0.368773871120633
"Finegoldia",0.339944955670401
"Leuconostoc",0.336684936907864
"Shigella",0.317489569644703
"Propionibacterium",0.285659354613627
"Rhodobacter",0.272479965485552
"Barnesiella",0.259776575671204
"Skermanella",0.246260407164738
"Cellulomonas",0.240815263845725
"Modestobacter",0.240769659549615
"Geobacillus",0.225327188342687
"Rothia",0.224099539917752
"Dorea",0.21979197417672
"Citrobacter",0.206075111686057
"Achromobacter",0.199727850497814
"Novosphingobium",0.19706745884554
"Solobacterium",0.188939808895279
"Neisseria",0.173735976244032
"Solibacillus",0.167333069089755
"Afifella",0.161510955178107
"Tessaracoccus",0.147239345327467
"Roseomonas",0.137092697891357
"Morganella",0.136940646173009
"Prevotella",0.13209812417024
"Bifidobacterium",0.129486927003529
"Janthinobacterium",0.12693605545416
"Halomonas",0.123183004251314
"Granulicatella",0.118412408080475
"Alistipes",0.115419731200069
"Agrobacterium",0.0959938174701259
"Planomicrobium",0.0958433040015383
"Holdemania",0.0932242197803621
"Anaerovorax",0.0831346481230429
"Gordonia",0.0783747781797929
"Bacteroides",0.0685687425090907
"Salinicoccus",0.0614274624488499
"Mogibacterium",0.0586324270837272
"Fusobacterium",0.0464464373595103
"Gardnerella",0.0444909741789194
"Ruminococcus",0.0430433611178058
"Mobiluncus",0.0429467212213537
"Luteimonas",0.0331219887596674
"Curtobacterium",0.0207427667318096
"Odoribacter",0.0200025866248661
"Eggerthella",0.0193811091485006
"Stenotrophomonas",0.0149119885381907
"Facklamia",0.0146914065206768
"Haemophilus",0.0142802013902671
"Peptostreptococcus",0.0133155537228323
"Oscillibacter",0.0128666080560233
"Myroides",0.00791831017242867
"Staphylococcus",0.00713078044788897
"Lysobacter",0.00687983744612979
"Adhaeribacter",0.00561649536138849
"Brevibacterium",0.00410095545029336
"Acetivibrio",0.00370826062823871
"Escherichia",0.00261568705324908
