"Taxa","varImp"
"Modestobacter",25.7228056198023
"Blastococcus",22.873623808819
"Aerococcus",10.1997921169442
"Selenomonas",10.0895006911301
"Flavonifractor",10.0524421316314
"Acidovorax",9.65922876112175
"Brevibacterium",9.56037362981229
"Leptotrichia",9.49501398405588
"Massilia",9.31629996875649
"Agrobacterium",8.47542734023053
"Myroides",8.37466480995608
"Solibacillus",8.1011560503803
"Eubacterium",7.96242723051153
"Gemella",7.76945201500342
"Deinococcus",7.13760408122671
"Hydrogenophaga",6.83883175323476
"Salinimicrobium",6.53157822065172
"Bacillus",6.44109475675848
"Rhizobium",6.42420274133939
"Moraxella",6.42085178380777
"Lachnobacterium",6.33818294536331
"Turicibacter",6.21540062225387
"Treponema",5.99763418971416
"Shewanella",4.99949485709124
"Megasphaera",4.92265483884712
"Marmoricola",4.81875649358635
"Nocardioides",4.53641038943472
"Cellulomonas",4.40640344903125
"Clostridium",4.37573633005761
"Gordonia",4.31542179043826
"Fusobacterium",4.31280499447187
"Alcaligenes",4.19934145891656
"Arthrobacter",4.12957265347836
"Proteus",4.11255654075235
"Ruminococcus",3.97428178803247
"Roseomonas",3.67940738454493
"Luteimonas",3.63336892986704
"Sutterella",3.53888179024848
"Peptoniphilus",3.52821865952021
"Halomonas",3.51753706901036
"Lysinibacillus",3.4946569071951
"Tepidimonas",3.44814596070781
"Rothia",3.37331984159778
"Pseudoxanthomonas",3.3235627265601
"Comamonas",3.2510030994339
"Alistipes",3.04162496353961
"Hymenobacter",2.73556423034555
"Arcobacter",2.73338717022889
"Desulfovibrio",2.58764481699136
"Solobacterium",2.56284081952233
"Bacteroides",2.35461464873087
"Rhodobacter",2.3488502441231
"Barnesiella",2.27052330810454
"Bulleidia",2.25906912594426
"Pseudonocardia",1.97378342054094
"Paracoccus",1.88512241103612
"Veillonella",1.82337193579554
"Lysobacter",1.78848282220672
"Morganella",1.76658762032495
"Skermanella",1.75919751995044
"Alkalibacterium",1.72423788482823
"Lactococcus",1.64395476746222
"Acetivibrio",1.55275357674977
"Anaerovorax",1.44258464861278
"Dialister",1.42791179812538
"Shigella",1.41628605805594
"Dorea",1.40317343884326
"Serratia",1.30077523485726
"Butyricimonas",1.26860095541101
"Blautia",1.17301958299627
"Anoxybacillus",1.02169041858715
"Janthinobacterium",0.992727454048772
"Achromobacter",0.985125041022528
"Azospirillum",0.975532927403477
"Planomicrobium",0.973085951266957
"Akkermansia",0.946979470322223
"Paludibacter",0.946803311644311
"Nesterenkonia",0.942273728246737
"Actinobacillus",0.929228904955678
"Parvimonas",0.910738828292019
"Facklamia",0.896047565712429
"Aggregatibacter",0.834899649043783
"Rubellimicrobium",0.82556766774052
"Brachybacterium",0.797195286171015
"Acinetobacter",0.796631367634679
"Methylobacterium",0.782327726929885
"Microbispora",0.741990445547125
"Roseburia",0.718645333010758
"Noviherbaspirillum",0.70074463424656
"Scardovia",0.673063717679104
"Atopobium",0.474043456893416
"Dietzia",0.374377010882175
"Collinsella",0.364516381538379
"Leuconostoc",0.362390912595415
"Rickettsia",0.360349762248073
"Belnapia",0.346636010901387
"Pantoea",0.325652690882194
"Oscillibacter",0.306250814118686
"Finegoldia",0.277978994724411
"Porphyromonas",0.26871173726016
"Curtobacterium",0.267647829625086
"Micrococcus",0.249627153792886
"Corynebacterium",0.222449609822932
"Streptomyces",0.202441851599757
"Klebsiella",0.185035166516913
"Holdemania",0.184508375588199
"Conchiformibius",0.181403960474018
"Novosphingobium",0.16460675601336
"Tannerella",0.15837845077151
"Lachnoanaerobaculum",0.133820158538201
"Erwinia",0.132679694122491
"Diaphorobacter",0.130033433610091
"Agromyces",0.1286031640762
"Eikenella",0.118434300195837
"Eggerthella",0.107348832012642
"Devosia",0.101502859951886
"Granulicatella",0.082468706388846
"Citrobacter",0.0718456370461468
"Odoribacter",0.0707389405976586
"Mobiluncus",0.0685922307490544
"Kingella",0.0583373809948833
"Neisseria",0.0545270599757796
